status,old_path,new_path,area,purpose
M,,apps/ingestion-service/src/main/java/com/predictionmarkets/weather/gribstream/GribstreamForecastClient.java,applications,deployable service relocation or runtime hardening
M,,apps/ingestion-service/src/main/java/com/predictionmarkets/weather/gribstream/GribstreamVariableIngestProperties.java,applications,deployable service relocation or runtime hardening
M,,apps/ingestion-service/src/main/java/com/predictionmarkets/weather/http/HttpClientConfig.java,applications,deployable service relocation or runtime hardening
M,,apps/ingestion-service/src/main/java/com/predictionmarkets/weather/klga/iemmos/IemMosBackfillCommandLineRunner.java,applications,deployable service relocation or runtime hardening
M,,apps/ingestion-service/src/main/java/com/predictionmarkets/weather/klga/iemmos/IemMosBackfillProperties.java,applications,deployable service relocation or runtime hardening
M,,apps/ingestion-service/src/main/java/com/predictionmarkets/weather/klga/wu/WuTruthConfig.java,applications,deployable service relocation or runtime hardening
M,,apps/ingestion-service/src/main/java/com/predictionmarkets/weather/pilot/PilotIngestionApplication.java,applications,deployable service relocation or runtime hardening
M,,apps/ingestion-service/src/main/java/com/predictionmarkets/weather/pilot/api/IngestAdminController.java,applications,deployable service relocation or runtime hardening
M,,apps/ingestion-service/src/main/java/com/predictionmarkets/weather/pilot/api/JobController.java,applications,deployable service relocation or runtime hardening
M,,apps/ingestion-service/src/main/java/com/predictionmarkets/weather/pilot/api/StationController.java,applications,deployable service relocation or runtime hardening
M,,apps/ingestion-service/src/main/java/com/predictionmarkets/weather/pilot/config/PilotIngestionProperties.java,applications,deployable service relocation or runtime hardening
M,,apps/ingestion-service/src/main/java/com/predictionmarkets/weather/pilot/jobs/PilotCommandLineRunner.java,applications,deployable service relocation or runtime hardening
A,,apps/ingestion-service/src/main/java/com/predictionmarkets/weather/security/AdminApiControlTokenFilter.java,applications,deployable service relocation or runtime hardening
A,,apps/ingestion-service/src/main/java/com/predictionmarkets/weather/security/AdminApiProperties.java,applications,deployable service relocation or runtime hardening
M,,apps/ingestion-service/src/main/java/com/predictionmarkets/weather/weathercom/config/WeatherComBackfillRunnerProperties.java,applications,deployable service relocation or runtime hardening
M,,apps/ingestion-service/src/main/java/com/predictionmarkets/weather/weathercom/config/WeatherComProperties.java,applications,deployable service relocation or runtime hardening
M,,apps/ingestion-service/src/main/java/com/predictionmarkets/weather/weathercom/service/WeatherComBackfillCommandLineRunner.java,applications,deployable service relocation or runtime hardening
M,,apps/ingestion-service/src/main/java/com/predictionmarkets/weather/weathercom/service/WeatherComIngestionService.java,applications,deployable service relocation or runtime hardening
M,,apps/ingestion-service/src/main/java/com/predictionmarkets/weather/weathercom/web/WeatherComController.java,applications,deployable service relocation or runtime hardening
M,,apps/ingestion-service/src/main/resources/application-klga-iem-mos.yml,applications,deployable service relocation or runtime hardening
M,,apps/ingestion-service/src/main/resources/application-mysql.yml,applications,deployable service relocation or runtime hardening
M,,apps/ingestion-service/src/main/resources/application.yml,applications,deployable service relocation or runtime hardening
D,,apps/ingestion-service/src/main/resources/gribstream_daily_feature.csv,applications,deployable service relocation or runtime hardening
M,,apps/ingestion-service/src/main/resources/gribstream_data,applications,deployable service relocation or runtime hardening
D,,apps/ingestion-service/src/main/resources/python/grib_test.py.txt,applications,deployable service relocation or runtime hardening
D,,apps/ingestion-service/src/main/resources/python/nyc_cli_2025_backtest.csv,applications,deployable service relocation or runtime hardening
D,,apps/ingestion-service/src/main/resources/python/run_2025-01-02_2025-01-05.log,applications,deployable service relocation or runtime hardening
D,,apps/ingestion-service/src/main/resources/python/run_2025-01-02_2025-01-05_results.jsonl,applications,deployable service relocation or runtime hardening
D,,apps/ingestion-service/src/main/resources/trainingdata_output/gribstream_training_data.csv,applications,deployable service relocation or runtime hardening
D,,apps/ingestion-service/src/main/resources/trainingdata_output/mos_training_data.csv,applications,deployable service relocation or runtime hardening
M,,apps/ingestion-service/src/test/java/com/predictionmarkets/weather/IngestionServiceApplicationTests.java,applications,deployable service relocation or runtime hardening
A,,apps/ingestion-service/src/test/java/com/predictionmarkets/weather/RuntimeSafetyDefaultsTest.java,applications,deployable service relocation or runtime hardening
M,,apps/ingestion-service/src/test/java/com/predictionmarkets/weather/klga/wu/WuTruthConfigTest.java,applications,deployable service relocation or runtime hardening
A,,apps/ingestion-service/src/test/java/com/predictionmarkets/weather/pilot/PilotSecurityWiringTest.java,applications,deployable service relocation or runtime hardening
A,,apps/ingestion-service/src/test/java/com/predictionmarkets/weather/security/AdminApiControlTokenFilterTest.java,applications,deployable service relocation or runtime hardening
M,,apps/ingestion-service/src/test/java/com/predictionmarkets/weather/weathercom/WeatherComIngestionConcurrencyTest.java,applications,deployable service relocation or runtime hardening
M,,apps/ingestion-service/workers/python/app/extract/extract_gefs_reforecast.py,applications,deployable service relocation or runtime hardening
M,,apps/ingestion-service/workers/python/app/extract/extract_ndfd.py,applications,deployable service relocation or runtime hardening
M,,apps/ingestion-service/workers/python/app/extract/herbie_worker.py,applications,deployable service relocation or runtime hardening
M,,apps/ingestion-service/workers/python/app/extract/point_extract.py,applications,deployable service relocation or runtime hardening
A,,apps/kalshi-market-service/AGENTS.md,applications,deployable service relocation or runtime hardening
A,,apps/kalshi-market-service/README.md,applications,deployable service relocation or runtime hardening
M,,apps/kalshi-market-service/src/main/java/com/predictionmarkets/weather/kalshiapi/backtest/MosBacktestGridRunner.java,applications,deployable service relocation or runtime hardening
M,,apps/kalshi-market-service/src/main/java/com/predictionmarkets/weather/kalshiapi/config/BacktestGridProperties.java,applications,deployable service relocation or runtime hardening
M,,apps/kalshi-market-service/src/main/java/com/predictionmarkets/weather/kalshiapi/config/KalshiExecutionProperties.java,applications,deployable service relocation or runtime hardening
M,,apps/kalshi-market-service/src/main/java/com/predictionmarkets/weather/kalshiapi/config/LiveTradingProperties.java,applications,deployable service relocation or runtime hardening
M,,apps/kalshi-market-service/src/main/java/com/predictionmarkets/weather/kalshiapi/executor/KalshiExecutionSmokeRunner.java,applications,deployable service relocation or runtime hardening
M,,apps/kalshi-market-service/src/main/java/com/predictionmarkets/weather/kalshiapi/live/LiveAccountController.java,applications,deployable service relocation or runtime hardening
M,,apps/kalshi-market-service/src/main/java/com/predictionmarkets/weather/kalshiapi/live/LiveInferenceController.java,applications,deployable service relocation or runtime hardening
M,,apps/kalshi-market-service/src/main/java/com/predictionmarkets/weather/kalshiapi/live/LiveInferenceInvokeService.java,applications,deployable service relocation or runtime hardening
M,,apps/kalshi-market-service/src/main/java/com/predictionmarkets/weather/kalshiapi/live/LiveOrderbookController.java,applications,deployable service relocation or runtime hardening
M,,apps/kalshi-market-service/src/main/java/com/predictionmarkets/weather/kalshiapi/live/LiveOrderbookStreamService.java,applications,deployable service relocation or runtime hardening
M,,apps/kalshi-market-service/src/main/java/com/predictionmarkets/weather/kalshiapi/live/LiveOrderbookWebSocketConfig.java,applications,deployable service relocation or runtime hardening
M,,apps/kalshi-market-service/src/main/java/com/predictionmarkets/weather/kalshiapi/live/LiveOrderbookWebSocketHandler.java,applications,deployable service relocation or runtime hardening
A,,apps/kalshi-market-service/src/main/java/com/predictionmarkets/weather/kalshiapi/security/KalshiRuntimeSafetyValidator.java,applications,deployable service relocation or runtime hardening
A,,apps/kalshi-market-service/src/main/java/com/predictionmarkets/weather/kalshiapi/security/LocalControlProperties.java,applications,deployable service relocation or runtime hardening
A,,apps/kalshi-market-service/src/main/java/com/predictionmarkets/weather/kalshiapi/security/LocalControlTokenWebFilter.java,applications,deployable service relocation or runtime hardening
M,,apps/kalshi-market-service/src/main/java/com/predictionmarkets/weather/kalshiapi/service/DefaultExposureGuardService.java,applications,deployable service relocation or runtime hardening
M,,apps/kalshi-market-service/src/main/resources/application.yml,applications,deployable service relocation or runtime hardening
A,,apps/kalshi-market-service/src/test/java/com/predictionmarkets/weather/kalshiapi/KalshiApiServiceApplicationTests.java,applications,deployable service relocation or runtime hardening
A,,apps/kalshi-market-service/src/test/java/com/predictionmarkets/weather/kalshiapi/config/RuntimeSafetyDefaultsTest.java,applications,deployable service relocation or runtime hardening
A,,apps/kalshi-market-service/src/test/java/com/predictionmarkets/weather/kalshiapi/security/KalshiRuntimeSafetyValidatorTest.java,applications,deployable service relocation or runtime hardening
A,,apps/kalshi-market-service/src/test/java/com/predictionmarkets/weather/kalshiapi/security/LocalControlTokenWebFilterTest.java,applications,deployable service relocation or runtime hardening
M,,apps/kalshi-market-service/src/test/java/com/predictionmarkets/weather/kalshiapi/service/DefaultExposureGuardServiceTest.java,applications,deployable service relocation or runtime hardening
A,,.github/workflows/hkg-offline.yml,ci,offline continuous-integration gate
A,,.github/workflows/klga-offline.yml,ci,offline continuous-integration gate
A,,.github/workflows/repository-governance.yml,ci,offline continuous-integration gate
A,,docs/START_HERE.md,documentation,"canonical architecture, operations, security, or migration record"
A,,docs/architecture/REPOSITORY_MAP.md,documentation,"canonical architecture, operations, security, or migration record"
A,,docs/migrations/2026-07-10-changed-files.csv,documentation,"canonical architecture, operations, security, or migration record"
A,,docs/migrations/2026-07-10-path-map.csv,documentation,"canonical architecture, operations, security, or migration record"
A,,docs/migrations/2026-07-10-repository-restructure.md,documentation,"canonical architecture, operations, security, or migration record"
A,,docs/operations/ENVIRONMENT_SETUP.md,documentation,"canonical architecture, operations, security, or migration record"
A,,docs/operations/RUNTIME_SAFETY.md,documentation,"canonical architecture, operations, security, or migration record"
A,,docs/operations/SAFE_COMMANDS.md,documentation,"canonical architecture, operations, security, or migration record"
A,,docs/security/SECURITY_BASELINE.md,documentation,"canonical architecture, operations, security, or migration record"
M,,projects/hkg-tmax/.agents/skills/hkg-t24-experiment-executor/scripts/_common.py,hkg-tmax,HKG project consolidation and portability
M,,projects/hkg-tmax/.agents/skills/hkg-t24-research-director/scripts/_common.py,hkg-tmax,HKG project consolidation and portability
M,,projects/hkg-tmax/.agents/skills/ingest-source/SKILL.md,hkg-tmax,HKG project consolidation and portability
M,,projects/hkg-tmax/.agents/skills/run-experiment/SKILL.md,hkg-tmax,HKG project consolidation and portability
M,,projects/hkg-tmax/.codex/agents/data-engineer.toml,hkg-tmax,HKG project consolidation and portability
M,,projects/hkg-tmax/.codex/agents/leakage-auditor.toml,hkg-tmax,HKG project consolidation and portability
M,,projects/hkg-tmax/.codex/agents/meteorology-researcher.toml,hkg-tmax,HKG project consolidation and portability
M,,projects/hkg-tmax/.codex/agents/reproducibility-reviewer.toml,hkg-tmax,HKG project consolidation and portability
M,,projects/hkg-tmax/.codex/agents/target-parity-researcher.toml,hkg-tmax,HKG project consolidation and portability
M,,projects/hkg-tmax/.codex/config.toml,hkg-tmax,HKG project consolidation and portability
M,,projects/hkg-tmax/.dockerignore,hkg-tmax,HKG project consolidation and portability
M,,projects/hkg-tmax/.env.example,hkg-tmax,HKG project consolidation and portability
M,,projects/hkg-tmax/.gitignore,hkg-tmax,HKG project consolidation and portability
M,,projects/hkg-tmax/AGENTS.md,hkg-tmax,HKG project consolidation and portability
M,,projects/hkg-tmax/CHANGELOG.md,hkg-tmax,HKG project consolidation and portability
D,,projects/hkg-tmax/CODEX_START_HERE.md,hkg-tmax,HKG project consolidation and portability
M,,projects/hkg-tmax/Dockerfile,hkg-tmax,HKG project consolidation and portability
M,,projects/hkg-tmax/EXPERIMENT_INDEX.md,hkg-tmax,HKG project consolidation and portability
M,,projects/hkg-tmax/MILESTONES.md,hkg-tmax,HKG project consolidation and portability
M,,projects/hkg-tmax/Makefile,hkg-tmax,HKG project consolidation and portability
M,,projects/hkg-tmax/README.md,hkg-tmax,HKG project consolidation and portability
A,,projects/hkg-tmax/START_HERE.md,hkg-tmax,HKG project consolidation and portability
R100,projects/hkg-tmax/apps/hkg-polymarket-backtester/index.html,projects/hkg-tmax/apps/polymarket-backtester/index.html,hkg-tmax,HKG project consolidation and portability
R100,projects/hkg-tmax/apps/hkg-polymarket-backtester/package-lock.json,projects/hkg-tmax/apps/polymarket-backtester/package-lock.json,hkg-tmax,HKG project consolidation and portability
R100,projects/hkg-tmax/apps/hkg-polymarket-backtester/package.json,projects/hkg-tmax/apps/polymarket-backtester/package.json,hkg-tmax,HKG project consolidation and portability
R100,projects/hkg-tmax/apps/hkg-polymarket-backtester/src/App.jsx,projects/hkg-tmax/apps/polymarket-backtester/src/App.jsx,hkg-tmax,HKG project consolidation and portability
R100,projects/hkg-tmax/apps/hkg-polymarket-backtester/src/main.jsx,projects/hkg-tmax/apps/polymarket-backtester/src/main.jsx,hkg-tmax,HKG project consolidation and portability
R100,projects/hkg-tmax/apps/hkg-polymarket-backtester/src/styles.css,projects/hkg-tmax/apps/polymarket-backtester/src/styles.css,hkg-tmax,HKG project consolidation and portability
R100,projects/hkg-tmax/apps/hkg-polymarket-backtester/vite.config.js,projects/hkg-tmax/apps/polymarket-backtester/vite.config.js,hkg-tmax,HKG project consolidation and portability
D,,projects/hkg-tmax/code/tests/conftest.py,hkg-tmax,HKG project consolidation and portability
M,,projects/hkg-tmax/compose.yaml,hkg-tmax,HKG project consolidation and portability
R100,projects/hkg-tmax/config/acquisition_plan.yaml,projects/hkg-tmax/config/acquisition/acquisition_plan.yaml,hkg-tmax,HKG project consolidation and portability
R084,projects/hkg-tmax/config/acquisition_policy.yaml,projects/hkg-tmax/config/acquisition/acquisition_policy.yaml,hkg-tmax,HKG project consolidation and portability
R090,projects/hkg-tmax/config/collector_schedules.yaml,projects/hkg-tmax/config/acquisition/collector_schedules.yaml,hkg-tmax,HKG project consolidation and portability
R100,projects/hkg-tmax/config/gridded_acquisition_policy.yaml,projects/hkg-tmax/config/acquisition/gridded_acquisition_policy.yaml,hkg-tmax,HKG project consolidation and portability
R100,projects/hkg-tmax/configs/hkg_tmax/probability_bucket_v1.yaml,projects/hkg-tmax/config/experiments/hkg_tmax/probability_bucket_v1.yaml,hkg-tmax,HKG project consolidation and portability
R100,projects/hkg-tmax/configs/hkg_tmax/probability_distribution_methods_v2.yaml,projects/hkg-tmax/config/experiments/hkg_tmax/probability_distribution_methods_v2.yaml,hkg-tmax,HKG project consolidation and portability
R100,projects/hkg-tmax/configs/hkg_tmax/residual_ml_next_round.yaml,projects/hkg-tmax/config/experiments/hkg_tmax/residual_ml_next_round.yaml,hkg-tmax,HKG project consolidation and portability
R100,projects/hkg-tmax/configs/hkg_tmax/residual_ml_official_memory.yaml,projects/hkg-tmax/config/experiments/hkg_tmax/residual_ml_official_memory.yaml,hkg-tmax,HKG project consolidation and portability
R100,projects/hkg-tmax/configs/hkg_tmax/residual_ml_strategy.yaml,projects/hkg-tmax/config/experiments/hkg_tmax/residual_ml_strategy.yaml,hkg-tmax,HKG project consolidation and portability
R100,projects/hkg-tmax/config/asof.yaml,projects/hkg-tmax/config/project/asof.yaml,hkg-tmax,HKG project consolidation and portability
R100,projects/hkg-tmax/config/evaluation.yaml,projects/hkg-tmax/config/project/evaluation.yaml,hkg-tmax,HKG project consolidation and portability
R100,projects/hkg-tmax/config/example_market_buckets.yaml,projects/hkg-tmax/config/project/example_market_buckets.yaml,hkg-tmax,HKG project consolidation and portability
R100,projects/hkg-tmax/config/goals.yaml,projects/hkg-tmax/config/project/goals.yaml,hkg-tmax,HKG project consolidation and portability
R100,projects/hkg-tmax/config/project.yaml,projects/hkg-tmax/config/project/project.yaml,hkg-tmax,HKG project consolidation and portability
R100,projects/hkg-tmax/config/target.yaml,projects/hkg-tmax/config/project/target.yaml,hkg-tmax,HKG project consolidation and portability
R099,projects/hkg-tmax/config/data_source_catalog.yaml,projects/hkg-tmax/config/sources/data_source_catalog.yaml,hkg-tmax,HKG project consolidation and portability
R100,projects/hkg-tmax/config/data_sources.yaml,projects/hkg-tmax/config/sources/data_sources.yaml,hkg-tmax,HKG project consolidation and portability
R100,projects/hkg-tmax/config/historical_live_pairs.yaml,projects/hkg-tmax/config/sources/historical_live_pairs.yaml,hkg-tmax,HKG project consolidation and portability
R100,projects/hkg-tmax/config/stations_hko.yaml,projects/hkg-tmax/config/sources/stations_hko.yaml,hkg-tmax,HKG project consolidation and portability
R100,projects/hkg-tmax/migrations/postgres/20260623_0001_audit_driven_ingestion.sql,projects/hkg-tmax/db/migrations/postgres/20260623_0001_audit_driven_ingestion.sql,hkg-tmax,HKG project consolidation and portability
R100,projects/hkg-tmax/migrations/postgres/20260624_0002_t24_time_availability_contract.sql,projects/hkg-tmax/db/migrations/postgres/20260624_0002_t24_time_availability_contract.sql,hkg-tmax,HKG project consolidation and portability
R100,projects/hkg-tmax/migrations/postgres/20260624_0003_t02_census_registry_compatibility.sql,projects/hkg-tmax/db/migrations/postgres/20260624_0003_t02_census_registry_compatibility.sql,hkg-tmax,HKG project consolidation and portability
R100,projects/hkg-tmax/migrations/postgres/20260624_0004_t03_gribstream_catalog_registry.sql,projects/hkg-tmax/db/migrations/postgres/20260624_0004_t03_gribstream_catalog_registry.sql,hkg-tmax,HKG project consolidation and portability
R100,projects/hkg-tmax/migrations/postgres/20260624_0005_t04_nwp_storage_lineage.sql,projects/hkg-tmax/db/migrations/postgres/20260624_0005_t04_nwp_storage_lineage.sql,hkg-tmax,HKG project consolidation and portability
R100,projects/hkg-tmax/migrations/postgres/20260624_0006_t05_location_station_geospatial_registry.sql,projects/hkg-tmax/db/migrations/postgres/20260624_0006_t05_location_station_geospatial_registry.sql,hkg-tmax,HKG project consolidation and portability
R100,projects/hkg-tmax/migrations/postgres/20260625_0007_tactical_gribstream_h24n_schema.sql,projects/hkg-tmax/db/migrations/postgres/20260625_0007_tactical_gribstream_h24n_schema.sql,hkg-tmax,HKG project consolidation and portability
R100,projects/hkg-tmax/migrations/postgres/20260704_0008_hko_info_gov_hourly_readings.sql,projects/hkg-tmax/db/migrations/postgres/20260704_0008_hko_info_gov_hourly_readings.sql,hkg-tmax,HKG project consolidation and portability
R100,projects/hkg-tmax/migrations/postgres/20260706_0009_demo_trading_backtester.sql,projects/hkg-tmax/db/migrations/postgres/20260706_0009_demo_trading_backtester.sql,hkg-tmax,HKG project consolidation and portability
R100,projects/hkg-tmax/schemas/experiment_metrics.schema.json,projects/hkg-tmax/db/schemas/experiment_metrics.schema.json,hkg-tmax,HKG project consolidation and portability
R100,projects/hkg-tmax/schemas/hkg_t24/README.md,projects/hkg-tmax/db/schemas/hkg_t24/README.md,hkg-tmax,HKG project consolidation and portability
R100,projects/hkg-tmax/schemas/hkg_t24/hkg_t24_001_schema_versions.json,projects/hkg-tmax/db/schemas/hkg_t24/hkg_t24_001_schema_versions.json,hkg-tmax,HKG project consolidation and portability
R100,projects/hkg-tmax/schemas/prediction.schema.json,projects/hkg-tmax/db/schemas/prediction.schema.json,hkg-tmax,HKG project consolidation and portability
R100,projects/hkg-tmax/schemas/raw_snapshot.schema.json,projects/hkg-tmax/db/schemas/raw_snapshot.schema.json,hkg-tmax,HKG project consolidation and portability
R100,projects/hkg-tmax/schemas/target_parity.schema.json,projects/hkg-tmax/db/schemas/target_parity.schema.json,hkg-tmax,HKG project consolidation and portability
R074,projects/hkg-tmax/sql/hkg_t24/README.md,projects/hkg-tmax/db/sql/hkg_t24/README.md,hkg-tmax,HKG project consolidation and portability
R100,projects/hkg-tmax/sql/hkg_t24/hkg_t24_001_foundation_schema.sql,projects/hkg-tmax/db/sql/hkg_t24/hkg_t24_001_foundation_schema.sql,hkg-tmax,HKG project consolidation and portability
R100,projects/hkg-tmax/sql/hkg_t24/hkg_t24_001_gribstream_safe_rows.sql,projects/hkg-tmax/db/sql/hkg_t24/hkg_t24_001_gribstream_safe_rows.sql,hkg-tmax,HKG project consolidation and portability
A,,projects/hkg-tmax/docs/INDEX.md,hkg-tmax,HKG project consolidation and portability
R100,projects/hkg-tmax/docs/00_PROJECT_OVERVIEW.md,projects/hkg-tmax/docs/architecture/PROJECT_OVERVIEW.md,hkg-tmax,HKG project consolidation and portability
A,,projects/hkg-tmax/docs/architecture/PROJECT_STRUCTURE_AND_CODE_MAP.md,hkg-tmax,HKG project consolidation and portability
R100,projects/hkg-tmax/docs/10_SYSTEM_ARCHITECTURE.md,projects/hkg-tmax/docs/architecture/SYSTEM_ARCHITECTURE.md,hkg-tmax,HKG project consolidation and portability
R100,projects/hkg-tmax/FIRST_GOALS.md,projects/hkg-tmax/docs/archive/FIRST_GOALS_LEGACY.md,hkg-tmax,HKG project consolidation and portability
A,,projects/hkg-tmax/docs/archive/HISTORICAL_MILESTONES.md,hkg-tmax,HKG project consolidation and portability
R100,projects/hkg-tmax/docs/PROJECT_STRUCTURE_AND_CODE_MAP.md,projects/hkg-tmax/docs/archive/HISTORICAL_PROJECT_STRUCTURE_AND_CODE_MAP.md,hkg-tmax,HKG project consolidation and portability
R100,projects/hkg-tmax/HKG_TMAX_FIRST_GOALS.md,projects/hkg-tmax/docs/archive/HKG_TMAX_FIRST_GOALS_LEGACY.md,hkg-tmax,HKG project consolidation and portability
A,,projects/hkg-tmax/docs/archive/LEGACY_AGENTS_CONSTITUTION.md,hkg-tmax,HKG project consolidation and portability
R100,projects/hkg-tmax/documentation/README.md,projects/hkg-tmax/docs/archive/LEGACY_DOCUMENTATION_INDEX.md,hkg-tmax,HKG project consolidation and portability
A,,projects/hkg-tmax/docs/archive/LEGACY_EXPERIMENT_INDEX.md,hkg-tmax,HKG project consolidation and portability
R100,projects/hkg-tmax/artifacts/hkg_t24/README.md,projects/hkg-tmax/docs/archive/legacy-artifact-scaffold/hkg-t24/README.md,hkg-tmax,HKG project consolidation and portability
R100,projects/hkg-tmax/.github/workflows/ci.yml,projects/hkg-tmax/docs/archive/legacy-component-ci/workflows/ci.yml,hkg-tmax,HKG project consolidation and portability
R100,projects/hkg-tmax/data/README.md,projects/hkg-tmax/docs/archive/legacy-data-scaffold/README.md,hkg-tmax,HKG project consolidation and portability
R100,projects/hkg-tmax/data/bronze/.gitkeep,projects/hkg-tmax/docs/archive/legacy-data-scaffold/bronze/.gitkeep,hkg-tmax,HKG project consolidation and portability
R100,projects/hkg-tmax/data/bronze/README.md,projects/hkg-tmax/docs/archive/legacy-data-scaffold/bronze/README.md,hkg-tmax,HKG project consolidation and portability
R100,projects/hkg-tmax/data/cache/.gitkeep,projects/hkg-tmax/docs/archive/legacy-data-scaffold/cache/.gitkeep,hkg-tmax,HKG project consolidation and portability
R100,projects/hkg-tmax/data/cache/README.md,projects/hkg-tmax/docs/archive/legacy-data-scaffold/cache/README.md,hkg-tmax,HKG project consolidation and portability
R100,projects/hkg-tmax/data/catalog/audit_snapshots/2026-06-23/HKG_TMAX_DATASET_AUDIT/AUDIT_SUMMARY.json,projects/hkg-tmax/docs/archive/legacy-data-scaffold/catalog/audit_snapshots/2026-06-23/HKG_TMAX_DATASET_AUDIT/AUDIT_SUMMARY.json,hkg-tmax,HKG project consolidation and portability
R100,projects/hkg-tmax/data/catalog/audit_snapshots/2026-06-23/HKG_TMAX_DATASET_AUDIT/HKG_TMAX_ATTRIBUTE_DECISIONS_ALL_1869.csv,projects/hkg-tmax/docs/archive/legacy-data-scaffold/catalog/audit_snapshots/2026-06-23/HKG_TMAX_DATASET_AUDIT/HKG_TMAX_ATTRIBUTE_DECISIONS_ALL_1869.csv,hkg-tmax,HKG project consolidation and portability
R100,projects/hkg-tmax/data/catalog/audit_snapshots/2026-06-23/HKG_TMAX_DATASET_AUDIT/HKG_TMAX_DATASET_DB_AND_MODEL_VALUE_AUDIT.md,projects/hkg-tmax/docs/archive/legacy-data-scaffold/catalog/audit_snapshots/2026-06-23/HKG_TMAX_DATASET_AUDIT/HKG_TMAX_DATASET_DB_AND_MODEL_VALUE_AUDIT.md,hkg-tmax,HKG project consolidation and portability
R100,projects/hkg-tmax/data/catalog/audit_snapshots/2026-06-23/HKG_TMAX_DATASET_AUDIT/HKG_TMAX_DATASET_DECISION_MATRIX.csv,projects/hkg-tmax/docs/archive/legacy-data-scaffold/catalog/audit_snapshots/2026-06-23/HKG_TMAX_DATASET_AUDIT/HKG_TMAX_DATASET_DECISION_MATRIX.csv,hkg-tmax,HKG project consolidation and portability
R100,projects/hkg-tmax/data/catalog/audit_snapshots/2026-06-23/HKG_TMAX_DATASET_AUDIT/HKG_TMAX_DATA_QUALITY_ISSUES.csv,projects/hkg-tmax/docs/archive/legacy-data-scaffold/catalog/audit_snapshots/2026-06-23/HKG_TMAX_DATASET_AUDIT/HKG_TMAX_DATA_QUALITY_ISSUES.csv,hkg-tmax,HKG project consolidation and portability
R100,projects/hkg-tmax/data/catalog/audit_snapshots/2026-06-23/HKG_TMAX_DATASET_AUDIT/HKG_TMAX_DB_SCHEMA_BLUEPRINT.sql,projects/hkg-tmax/docs/archive/legacy-data-scaffold/catalog/audit_snapshots/2026-06-23/HKG_TMAX_DATASET_AUDIT/HKG_TMAX_DB_SCHEMA_BLUEPRINT.sql,hkg-tmax,HKG project consolidation and portability
R100,projects/hkg-tmax/data/catalog/audit_snapshots/2026-06-23/HKG_TMAX_DATASET_AUDIT/HKG_TMAX_ISD_STATION_DOSSIER_36.csv,projects/hkg-tmax/docs/archive/legacy-data-scaffold/catalog/audit_snapshots/2026-06-23/HKG_TMAX_DATASET_AUDIT/HKG_TMAX_ISD_STATION_DOSSIER_36.csv,hkg-tmax,HKG project consolidation and portability
