feature,feature_family,asof_rule,production_allowed,diagnostic_only,leakage_status,null_percent_all_cutoffs,dtype
bright_sunshine_duration_lag_14,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
bright_sunshine_duration_lag_2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
bright_sunshine_duration_lag_3,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
bright_sunshine_duration_lag_30,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
bright_sunshine_duration_lag_4,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
bright_sunshine_duration_lag_5,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
bright_sunshine_duration_lag_7,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
bright_sunshine_duration_rolling_max_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
bright_sunshine_duration_rolling_mean_14_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
bright_sunshine_duration_rolling_mean_30_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
bright_sunshine_duration_rolling_mean_3_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
bright_sunshine_duration_rolling_mean_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
bright_sunshine_duration_rolling_median_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
bright_sunshine_duration_rolling_min_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
bright_sunshine_duration_rolling_std_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
bright_sunshine_duration_trend_7_minus_30,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
cloud_to_cloud_lightning_delta_lag2_minus_lag3,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,22.818026240730177,float64
cloud_to_cloud_lightning_delta_lag2_minus_lag7,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,22.863662293211636,float64
cloud_to_cloud_lightning_lag_14,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,22.94352538505419,float64
cloud_to_cloud_lightning_lag_2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,22.806617227609813,float64
cloud_to_cloud_lightning_lag_3,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,22.818026240730177,float64
cloud_to_cloud_lightning_lag_30,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,23.126069594980034,float64
cloud_to_cloud_lightning_lag_4,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,22.82943525385054,float64
cloud_to_cloud_lightning_lag_5,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,22.840844266970908,float64
cloud_to_cloud_lightning_lag_7,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,22.863662293211636,float64
cloud_to_cloud_lightning_rolling_max_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,22.82943525385054,float64
cloud_to_cloud_lightning_rolling_mean_14_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,22.82943525385054,float64
cloud_to_cloud_lightning_rolling_mean_30_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,22.82943525385054,float64
cloud_to_cloud_lightning_rolling_mean_3_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,22.82943525385054,float64
cloud_to_cloud_lightning_rolling_mean_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,22.82943525385054,float64
cloud_to_cloud_lightning_rolling_median_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,22.82943525385054,float64
cloud_to_cloud_lightning_rolling_min_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,22.82943525385054,float64
cloud_to_cloud_lightning_rolling_std_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,22.82943525385054,float64
cloud_to_cloud_lightning_trend_7_minus_30,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,22.82943525385054,float64
cloud_to_ground_lightning_delta_lag2_minus_lag3,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,22.818026240730177,float64
cloud_to_ground_lightning_delta_lag2_minus_lag7,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,22.863662293211636,float64
cloud_to_ground_lightning_lag_14,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,22.94352538505419,float64
cloud_to_ground_lightning_lag_2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,22.806617227609813,float64
cloud_to_ground_lightning_lag_3,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,22.818026240730177,float64
cloud_to_ground_lightning_lag_30,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,23.126069594980034,float64
cloud_to_ground_lightning_lag_4,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,22.82943525385054,float64
cloud_to_ground_lightning_lag_5,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,22.840844266970908,float64
cloud_to_ground_lightning_lag_7,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,22.863662293211636,float64
cloud_to_ground_lightning_rolling_max_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,22.82943525385054,float64
cloud_to_ground_lightning_rolling_mean_14_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,22.82943525385054,float64
cloud_to_ground_lightning_rolling_mean_30_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,22.82943525385054,float64
cloud_to_ground_lightning_rolling_mean_3_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,22.82943525385054,float64
cloud_to_ground_lightning_rolling_mean_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,22.82943525385054,float64
cloud_to_ground_lightning_rolling_median_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,22.82943525385054,float64
cloud_to_ground_lightning_rolling_min_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,22.82943525385054,float64
cloud_to_ground_lightning_rolling_std_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,22.82943525385054,float64
cloud_to_ground_lightning_trend_7_minus_30,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,22.82943525385054,float64
daily_maximum_temperature_delta_lag2_minus_lag3,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
daily_maximum_temperature_delta_lag2_minus_lag7,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
daily_maximum_temperature_lag_14,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
daily_maximum_temperature_lag_2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
daily_maximum_temperature_lag_3,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
daily_maximum_temperature_lag_30,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
daily_maximum_temperature_lag_4,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
daily_maximum_temperature_lag_5,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
daily_maximum_temperature_lag_7,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
daily_maximum_temperature_rolling_max_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
daily_maximum_temperature_rolling_mean_14_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
daily_maximum_temperature_rolling_mean_30_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
daily_maximum_temperature_rolling_mean_3_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
daily_maximum_temperature_rolling_mean_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
daily_maximum_temperature_rolling_median_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
daily_maximum_temperature_rolling_min_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
daily_maximum_temperature_rolling_std_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
daily_maximum_temperature_trend_7_minus_30,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
daily_minimum_temperature_delta_lag2_minus_lag3,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
daily_minimum_temperature_delta_lag2_minus_lag7,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
daily_minimum_temperature_lag_14,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
daily_minimum_temperature_lag_2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
daily_minimum_temperature_lag_3,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
daily_minimum_temperature_lag_30,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
daily_minimum_temperature_lag_4,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
daily_minimum_temperature_lag_5,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
daily_minimum_temperature_lag_7,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
daily_minimum_temperature_rolling_max_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
daily_minimum_temperature_rolling_mean_14_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
daily_minimum_temperature_rolling_mean_30_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
daily_minimum_temperature_rolling_mean_3_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
daily_minimum_temperature_rolling_mean_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
daily_minimum_temperature_rolling_median_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
daily_minimum_temperature_rolling_min_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
daily_minimum_temperature_rolling_std_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
daily_minimum_temperature_trend_7_minus_30,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
daily_rainfall_delta_lag2_minus_lag3,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,33.90758699372504,float64
daily_rainfall_delta_lag2_minus_lag7,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,35.767256132344556,float64
daily_rainfall_lag_14,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,20.171135196805476,float64
daily_rainfall_lag_2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,20.193953223046208,float64
daily_rainfall_lag_3,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,20.193953223046208,float64
daily_rainfall_lag_30,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,20.14831717056475,float64
daily_rainfall_lag_4,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,20.18254420992584,float64
daily_rainfall_lag_5,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,20.171135196805476,float64
daily_rainfall_lag_7,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,20.18254420992584,float64
daily_rainfall_rolling_max_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,1.8824871648602397,float64
daily_rainfall_rolling_mean_14_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
daily_rainfall_rolling_mean_30_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
daily_rainfall_rolling_mean_3_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,45.008556759840275,float64
daily_rainfall_rolling_mean_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,1.8824871648602397,float64
daily_rainfall_rolling_median_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,1.8824871648602397,float64
daily_rainfall_rolling_min_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,1.8824871648602397,float64
daily_rainfall_rolling_std_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,1.8824871648602397,float64
daily_rainfall_trend_7_minus_30,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,1.8824871648602397,float64
diurnal_range_lag2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
evaporation_delta_lag2_minus_lag3,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,1.414717626925271,float64
evaporation_delta_lag2_minus_lag7,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,1.5516257843696522,float64
evaporation_lag_14,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.7986309184255562,float64
evaporation_lag_2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.7986309184255562,float64
evaporation_lag_3,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.7986309184255562,float64
evaporation_lag_30,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.7986309184255562,float64
evaporation_lag_4,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.7986309184255562,float64
evaporation_lag_5,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.7986309184255562,float64
evaporation_lag_7,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.7986309184255562,float64
evaporation_rolling_max_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
evaporation_rolling_mean_14_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
evaporation_rolling_mean_30_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
evaporation_rolling_mean_3_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,1.9623502567027953,float64
evaporation_rolling_mean_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
evaporation_rolling_median_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
evaporation_rolling_min_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
evaporation_rolling_std_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
evaporation_trend_7_minus_30,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
global_solar_radiation_delta_lag2_minus_lag3,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
global_solar_radiation_delta_lag2_minus_lag7,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
global_solar_radiation_lag_14,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
global_solar_radiation_lag_2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
global_solar_radiation_lag_3,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
global_solar_radiation_lag_30,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
global_solar_radiation_lag_4,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
global_solar_radiation_lag_5,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
global_solar_radiation_lag_7,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
global_solar_radiation_rolling_max_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
global_solar_radiation_rolling_mean_14_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
global_solar_radiation_rolling_mean_30_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
global_solar_radiation_rolling_mean_3_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
global_solar_radiation_rolling_mean_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
global_solar_radiation_rolling_median_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
global_solar_radiation_rolling_min_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
global_solar_radiation_rolling_std_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
global_solar_radiation_trend_7_minus_30,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
grass_minimum_temperature_delta_lag2_minus_lag3,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,1.4489446662863663,float64
grass_minimum_temperature_delta_lag2_minus_lag7,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,1.6086708499714775,float64
grass_minimum_temperature_lag_14,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.8100399315459212,float64
grass_minimum_temperature_lag_2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.8100399315459212,float64
grass_minimum_temperature_lag_3,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.8100399315459212,float64
grass_minimum_temperature_lag_30,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.8100399315459212,float64
grass_minimum_temperature_lag_4,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.8100399315459212,float64
grass_minimum_temperature_lag_5,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.8100399315459212,float64
grass_minimum_temperature_lag_7,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.8100399315459212,float64
grass_minimum_temperature_rolling_max_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.034227039361095266,float64
grass_minimum_temperature_rolling_mean_14_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
grass_minimum_temperature_rolling_mean_30_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
grass_minimum_temperature_rolling_mean_3_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,2.087849401026811,float64
grass_minimum_temperature_rolling_mean_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.034227039361095266,float64
grass_minimum_temperature_rolling_median_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.034227039361095266,float64
grass_minimum_temperature_rolling_min_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.034227039361095266,float64
grass_minimum_temperature_rolling_std_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.034227039361095266,float64
grass_minimum_temperature_trend_7_minus_30,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.034227039361095266,float64
humidity_heat_index_proxy_lag2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
lightning_any_lag2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,bool
mean_cloud_amount_delta_lag2_minus_lag3,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
mean_cloud_amount_delta_lag2_minus_lag7,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
mean_cloud_amount_lag_14,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
mean_cloud_amount_lag_2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
mean_cloud_amount_lag_3,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
mean_cloud_amount_lag_30,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
mean_cloud_amount_lag_4,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
mean_cloud_amount_lag_5,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
mean_cloud_amount_lag_7,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
mean_cloud_amount_rolling_max_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
mean_cloud_amount_rolling_mean_14_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
mean_cloud_amount_rolling_mean_30_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
mean_cloud_amount_rolling_mean_3_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
mean_cloud_amount_rolling_mean_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
mean_cloud_amount_rolling_median_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
mean_cloud_amount_rolling_min_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
mean_cloud_amount_rolling_std_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
mean_cloud_amount_trend_7_minus_30,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
mean_dew_point_temperature_delta_lag2_minus_lag3,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
mean_dew_point_temperature_delta_lag2_minus_lag7,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
mean_dew_point_temperature_lag_14,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
mean_dew_point_temperature_lag_2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
mean_dew_point_temperature_lag_3,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
mean_dew_point_temperature_lag_30,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
mean_dew_point_temperature_lag_4,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
mean_dew_point_temperature_lag_5,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
mean_dew_point_temperature_lag_7,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
mean_dew_point_temperature_rolling_max_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
mean_dew_point_temperature_rolling_mean_14_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
mean_dew_point_temperature_rolling_mean_30_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
mean_dew_point_temperature_rolling_mean_3_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
mean_dew_point_temperature_rolling_mean_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
mean_dew_point_temperature_rolling_median_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
mean_dew_point_temperature_rolling_min_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
mean_dew_point_temperature_rolling_std_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
mean_dew_point_temperature_trend_7_minus_30,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
mean_relative_humidity_delta_lag2_minus_lag3,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
mean_relative_humidity_delta_lag2_minus_lag7,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
