experiment_id,folder,title,file_count,total_bytes,frame_class,evidence_class,best_reported_mae_c,reported_baseline_mae_c,computed_delta_c,reported_status,key_summary,primary_concern,recommended_action,reproducibility_note
0040,0040_station_network_smooth_residuals,Station-Network Smooth Local Residual Models,2,40559,legacy_narrow_or_long_history_mixed,VALID_FRAME_SPECIFIC_PROXY_EVIDENCE,,,,,,Useful narrow-frame causal/diagnostic result with station/proxy eligibility caveats,Preserve insight; replay on canonical cleaned frame before comparison.,Self-contained experiment artifacts or legacy report
0041,0041_station_network_forecast_stack,Station-Network Forecast Stack,2,55886,legacy_narrow_or_long_history_mixed,VALID_FRAME_SPECIFIC_PROXY_EVIDENCE,0.9798,,,,,Useful narrow-frame causal/diagnostic result with station/proxy eligibility caveats,Preserve insight; replay on canonical cleaned frame before comparison.,Self-contained experiment artifacts or legacy report
0042,0042_trust_router_sensitivity,Trust Router Sensitivity,2,128579,legacy_narrow_or_long_history_mixed,VALID_FRAME_SPECIFIC_PROXY_EVIDENCE,,,,,,Useful narrow-frame causal/diagnostic result with station/proxy eligibility caveats,Preserve insight; replay on canonical cleaned frame before comparison.,Self-contained experiment artifacts or legacy report
0043,0043_router_simplification_or_archive_refresh_decision,Router Simplification Or Archive Refresh Decision,2,16730,legacy_narrow_or_long_history_mixed,VALID_FRAME_SPECIFIC_PROXY_EVIDENCE,,,,,,Useful narrow-frame causal/diagnostic result with station/proxy eligibility caveats,Preserve insight; replay on canonical cleaned frame before comparison.,Self-contained experiment artifacts or legacy report
0044,0044_forecast_archive_continuous_scored_export,Forecast Archive Continuous Scored Export Promotion,2,9065,legacy_narrow_or_long_history_mixed,CONTROL_AUDIT_OR_DATA_ENGINEERING,,,,,,No predictive score should be inferred,"Retain; use as governance, coverage, timestamp, or database evidence.",Self-contained experiment artifacts or legacy report
0045,0045_missing_press_raw_detail_backfill_or_blocker,Missing Press Raw-Detail Backfill Or Blocker,2,17707,legacy_narrow_or_long_history_mixed,CONTROL_AUDIT_OR_DATA_ENGINEERING,,,,,,No predictive score should be inferred,"Retain; use as governance, coverage, timestamp, or database evidence.",Self-contained experiment artifacts or legacy report
0046,0046_long_history_cross_family_interaction_atlas,Long-History Cross-Family Interaction Atlas,21,100668,legacy_narrow_or_long_history_mixed,CONTROL_AUDIT_OR_DATA_ENGINEERING,,,,,,No predictive score should be inferred,"Retain; use as governance, coverage, timestamp, or database evidence.",Self-contained experiment artifacts or legacy report
0047,0047_station_contribution_atlas,Station Contribution Atlas,21,103255,legacy_narrow_or_long_history_mixed,VALID_FRAME_SPECIFIC_PROXY_EVIDENCE,,,,,,Useful narrow-frame causal/diagnostic result with station/proxy eligibility caveats,Preserve insight; replay on canonical cleaned frame before comparison.,Self-contained experiment artifacts or legacy report
0048,0048_gated_residual_specialist_screen,Gated Residual Specialist Screen,21,94376,legacy_narrow_or_long_history_mixed,VALID_FRAME_SPECIFIC_PROXY_EVIDENCE,1.0222528509771205,,,,,Useful narrow-frame causal/diagnostic result with station/proxy eligibility caveats,Preserve insight; replay on canonical cleaned frame before comparison.,Self-contained experiment artifacts or legacy report
0049,0049_router_gate_stack_screen,0049 Router Gate Stack Screen,21,180556,legacy_narrow_or_long_history_mixed,VALID_FRAME_SPECIFIC_PROXY_EVIDENCE,,,,,,Useful narrow-frame causal/diagnostic result with station/proxy eligibility caveats,Preserve insight; replay on canonical cleaned frame before comparison.,Self-contained experiment artifacts or legacy report
0050,0050_station_lag_slope_information_atlas,Station Lag/Slope Information Atlas,35,689605,legacy_narrow_or_long_history_mixed,VALID_FRAME_SPECIFIC_PROXY_EVIDENCE,,,,,,Useful narrow-frame causal/diagnostic result with station/proxy eligibility caveats,Preserve insight; replay on canonical cleaned frame before comparison.,Self-contained experiment artifacts or legacy report
0051,0051_station_regime_interaction_atlas,Station Regime Interaction Atlas,35,328053,legacy_narrow_or_long_history_mixed,VALID_FRAME_SPECIFIC_PROXY_EVIDENCE,,,,,,Useful narrow-frame causal/diagnostic result with station/proxy eligibility caveats,Preserve insight; replay on canonical cleaned frame before comparison.,Self-contained experiment artifacts or legacy report
0052,0052_candidate_residual_feature_design_notes,Candidate Residual Feature Design Notes,35,319311,legacy_narrow_or_long_history_mixed,VALID_FRAME_SPECIFIC_PROXY_EVIDENCE,,,,,,Useful narrow-frame causal/diagnostic result with station/proxy eligibility caveats,Preserve insight; replay on canonical cleaned frame before comparison.,Self-contained experiment artifacts or legacy report
0053,0053_candidate_timestamp_eligibility_audit,Candidate Timestamp Eligibility Audit,35,277052,legacy_narrow_or_long_history_mixed,VALID_FRAME_SPECIFIC_PROXY_EVIDENCE,,,,,,Useful narrow-frame causal/diagnostic result with station/proxy eligibility caveats,Preserve insight; replay on canonical cleaned frame before comparison.,Self-contained experiment artifacts or legacy report
0054,0054_station_only_walkforward_matrix_audit,Station-Only Walk-Forward Matrix Audit,35,344386,legacy_narrow_or_long_history_mixed,VALID_FRAME_SPECIFIC_PROXY_EVIDENCE,,,,,,Useful narrow-frame causal/diagnostic result with station/proxy eligibility caveats,Preserve insight; replay on canonical cleaned frame before comparison.,Self-contained experiment artifacts or legacy report
0055,0055_station_only_walkforward_benchmark,Station-Only Walk-Forward Benchmark,35,283118,legacy_narrow_or_long_history_mixed,VALID_FRAME_SPECIFIC_PROXY_EVIDENCE,,,,,,Useful narrow-frame causal/diagnostic result with station/proxy eligibility caveats,Preserve insight; replay on canonical cleaned frame before comparison.,Self-contained experiment artifacts or legacy report
0056,0056_station_only_failure_mode_analysis,Station-Only Failure Mode Analysis,35,304387,legacy_narrow_or_long_history_mixed,VALID_FRAME_SPECIFIC_PROXY_EVIDENCE,,,,,,Useful narrow-frame causal/diagnostic result with station/proxy eligibility caveats,Preserve insight; replay on canonical cleaned frame before comparison.,Self-contained experiment artifacts or legacy report
0057,0057_station_only_residual_specialist_design_queue,Station-Only Residual Specialist Design Queue,35,295099,legacy_narrow_or_long_history_mixed,VALID_FRAME_SPECIFIC_PROXY_EVIDENCE,,,,,,Useful narrow-frame causal/diagnostic result with station/proxy eligibility caveats,Preserve insight; replay on canonical cleaned frame before comparison.,Self-contained experiment artifacts or legacy report
0058,0058_station_only_late_period_bias_repair,Station-Only Late-Period Bias Repair,35,283077,legacy_narrow_or_long_history_mixed,VALID_FRAME_SPECIFIC_PROXY_EVIDENCE,1.3351228124211925,,,,,Useful narrow-frame causal/diagnostic result with station/proxy eligibility caveats,Preserve insight; replay on canonical cleaned frame before comparison.,Self-contained experiment artifacts or legacy report
0059,0059_station_only_february_march_transition_specialist,Station-Only February/March Transition Specialist,35,293530,legacy_narrow_or_long_history_mixed,VALID_FRAME_SPECIFIC_PROXY_EVIDENCE,1.3862996344237026,,,,,Useful narrow-frame causal/diagnostic result with station/proxy eligibility caveats,Preserve insight; replay on canonical cleaned frame before comparison.,Self-contained experiment artifacts or legacy report
0060,0060_station_only_spring_transition_pressure_dew_specialist,Station-Only Spring Pressure/Dew Specialist,35,272139,legacy_narrow_or_long_history_mixed,VALID_FRAME_SPECIFIC_PROXY_EVIDENCE,1.5720577481658566,,,,,Useful narrow-frame causal/diagnostic result with station/proxy eligibility caveats,Preserve insight; replay on canonical cleaned frame before comparison.,Self-contained experiment artifacts or legacy report
0061,0061_station_only_pressure_high_uncertainty_guard,Station-Only Pressure-High Uncertainty Guard,35,289048,legacy_narrow_or_long_history_mixed,VALID_FRAME_SPECIFIC_PROXY_EVIDENCE,1.4293096857182213,,,,,Useful narrow-frame causal/diagnostic result with station/proxy eligibility caveats,Preserve insight; replay on canonical cleaned frame before comparison.,Self-contained experiment artifacts or legacy report
0062,0062_station_only_nearby_temperature_level_error_scale,Station-Only Nearby Temperature-Level Error Scale,35,283481,legacy_narrow_or_long_history_mixed,VALID_FRAME_SPECIFIC_PROXY_EVIDENCE,1.33495344436846,,,,,Useful narrow-frame causal/diagnostic result with station/proxy eligibility caveats,Preserve insight; replay on canonical cleaned frame before comparison.,Self-contained experiment artifacts or legacy report
0063,0063_station_only_guarded_candidate_stack,Station-Only Guarded Candidate Stack,35,296981,legacy_narrow_or_long_history_mixed,VALID_FRAME_SPECIFIC_PROXY_EVIDENCE,1.3248606042869946,,,,,Useful narrow-frame causal/diagnostic result with station/proxy eligibility caveats,Preserve insight; replay on canonical cleaned frame before comparison.,Self-contained experiment artifacts or legacy report
0064,0064_station_only_heat_proxy_specialist_validation,Station-Only Heat Proxy Specialist Validation,35,278286,legacy_narrow_or_long_history_mixed,VALID_FRAME_SPECIFIC_PROXY_EVIDENCE,1.321015699466693,,,,,Useful narrow-frame causal/diagnostic result with station/proxy eligibility caveats,Preserve insight; replay on canonical cleaned frame before comparison.,Self-contained experiment artifacts or legacy report
0065,0065_station_feature_bucket_residual_mining,Station-Feature Bucket Residual Mining,35,521098,legacy_narrow_or_long_history_mixed,VALID_FRAME_SPECIFIC_PROXY_EVIDENCE,1.3148387089689249,,,,,Useful narrow-frame causal/diagnostic result with station/proxy eligibility caveats,Preserve insight; replay on canonical cleaned frame before comparison.,Self-contained experiment artifacts or legacy report
0066,0066_station_feature_guarded_stack,Station-Feature Guarded Stack,35,307188,legacy_narrow_or_long_history_mixed,VALID_FRAME_SPECIFIC_PROXY_EVIDENCE,1.3148387089689249,,,,,Useful narrow-frame causal/diagnostic result with station/proxy eligibility caveats,Preserve insight; replay on canonical cleaned frame before comparison.,Self-contained experiment artifacts or legacy report
0067,0067_station_official_family_router,Station/Official Family Router,35,343953,legacy_narrow_or_long_history_mixed,VALID_FRAME_SPECIFIC_PROXY_EVIDENCE,0.9521316826180168,,,,,Useful narrow-frame causal/diagnostic result with station/proxy eligibility caveats,Preserve insight; replay on canonical cleaned frame before comparison.,Self-contained experiment artifacts or legacy report
0068,0068_prior_calibrated_fusion_screen,Prior-Calibrated Fusion Screen,35,383059,legacy_narrow_or_long_history_mixed,VALID_FRAME_SPECIFIC_PROXY_EVIDENCE,0.9521316826180168,,,,,Useful narrow-frame causal/diagnostic result with station/proxy eligibility caveats,Preserve insight; replay on canonical cleaned frame before comparison.,Self-contained experiment artifacts or legacy report
0069,0069_era_source_aware_fusion_model,Era/Source-Aware Fusion Model,35,392638,legacy_narrow_or_long_history_mixed,VALID_FRAME_SPECIFIC_PROXY_EVIDENCE,0.950434934268158,,,,,Useful narrow-frame causal/diagnostic result with station/proxy eligibility caveats,Preserve insight; replay on canonical cleaned frame before comparison.,Self-contained experiment artifacts or legacy report
0070,0070_nonlinear_local_residual_fusion_lab,Nonlinear Local Residual-Fusion Lab,35,352618,legacy_narrow_or_long_history_mixed,VALID_FRAME_SPECIFIC_PROXY_EVIDENCE,0.9486180151523014,,,,,Useful narrow-frame causal/diagnostic result with station/proxy eligibility caveats,Preserve insight; replay on canonical cleaned frame before comparison.,Self-contained experiment artifacts or legacy report
0071,0071_sparse_specialist_delta_stack,Sparse Specialist Delta Stack,35,330915,legacy_narrow_or_long_history_mixed,VALID_FRAME_SPECIFIC_PROXY_EVIDENCE,0.9461507103179788,,,,,Useful narrow-frame causal/diagnostic result with station/proxy eligibility caveats,Preserve insight; replay on canonical cleaned frame before comparison.,Self-contained experiment artifacts or legacy report
0072,0072_cell_robustness_smooth_shrinkage,Cell Robustness And Smooth Shrinkage,35,400029,legacy_narrow_or_long_history_mixed,VALID_FRAME_SPECIFIC_PROXY_EVIDENCE,0.947359490166776,,,,,Useful narrow-frame causal/diagnostic result with station/proxy eligibility caveats,Preserve insight; replay on canonical cleaned frame before comparison.,Self-contained experiment artifacts or legacy report
0073,0073_source_era_specific_shrinkage,Source-Era-Specific Shrinkage,35,393297,legacy_narrow_or_long_history_mixed,VALID_FRAME_SPECIFIC_PROXY_EVIDENCE,0.9451065682801856,,,,,Useful narrow-frame causal/diagnostic result with station/proxy eligibility caveats,Preserve insight; replay on canonical cleaned frame before comparison.,Self-contained experiment artifacts or legacy report
0074,0074_online_residual_memory_halflife,Online Residual Memory Half-Life,35,317264,legacy_narrow_or_long_history_mixed,VALID_FRAME_SPECIFIC_PROXY_EVIDENCE,0.946580543582804,,,,,Useful narrow-frame causal/diagnostic result with station/proxy eligibility caveats,Preserve insight; replay on canonical cleaned frame before comparison.,Self-contained experiment artifacts or legacy report
0075,0075_online_residual_memory_refinement,Online Residual Memory Refinement,35,331747,legacy_narrow_or_long_history_mixed,VALID_FRAME_SPECIFIC_PROXY_EVIDENCE,0.9456033267531754,,,,,Useful narrow-frame causal/diagnostic result with station/proxy eligibility caveats,Preserve insight; replay on canonical cleaned frame before comparison.,Self-contained experiment artifacts or legacy report
0076,0076_online_no_regret_trust_router,Online No-Regret Trust Router,35,298262,legacy_narrow_or_long_history_mixed,VALID_FRAME_SPECIFIC_PROXY_EVIDENCE,0.9463955289121396,,,,,Useful narrow-frame causal/diagnostic result with station/proxy eligibility caveats,Preserve insight; replay on canonical cleaned frame before comparison.,Self-contained experiment artifacts or legacy report
0077,0077_remaining_0075_error_feature_mining,Remaining 0075 Error Feature Mining,35,365097,legacy_narrow_or_long_history_mixed,VALID_FRAME_SPECIFIC_PROXY_EVIDENCE,,,,,,Useful narrow-frame causal/diagnostic result with station/proxy eligibility caveats,Preserve insight; replay on canonical cleaned frame before comparison.,Self-contained experiment artifacts or legacy report
0078,0078_prior_only_residual_specialists,Prior-Only Residual Specialists,35,302084,legacy_narrow_or_long_history_mixed,VALID_FRAME_SPECIFIC_PROXY_EVIDENCE,0.9448508210099432,,,,,Useful narrow-frame causal/diagnostic result with station/proxy eligibility caveats,Preserve insight; replay on canonical cleaned frame before comparison.,Self-contained experiment artifacts or legacy report
0079,0079_guarded_specialist_combination,Guarded Specialist Combination,35,335136,legacy_narrow_or_long_history_mixed,VALID_FRAME_SPECIFIC_PROXY_EVIDENCE,0.9439288177079488,,,,,Useful narrow-frame causal/diagnostic result with station/proxy eligibility caveats,Preserve insight; replay on canonical cleaned frame before comparison.,Self-contained experiment artifacts or legacy report
0080,0080_source_era_hardened_specialist_gate,Source/Era Hardened Specialist Gate,35,326789,legacy_narrow_or_long_history_mixed,VALID_FRAME_SPECIFIC_PROXY_EVIDENCE,0.9437550087964722,,,,,Useful narrow-frame causal/diagnostic result with station/proxy eligibility caveats,Preserve insight; replay on canonical cleaned frame before comparison.,Self-contained experiment artifacts or legacy report
