dataset_id,source_file,file_type,attribute,source_dtype,semantic_class,row_count,non_null_count,null_count,null_pct,storage_decision,db_layer,model_role,operational_status,quality_action,usefulness_score_0_100,rationale,profile_min,profile_max
01_hko_daily_tmax_target,01_hko_daily_tmax_target/hko_daily_tmax_target_labels.parquet,parquet,raw_retrieved_at_utc,string,datetime_or_date,49459,49459,0,0.0,KEEP,label_core,PROVENANCE_TIMESTAMP,GATING_OR_AUDIT_ONLY,VALIDATE_TIMEZONE,95,Needed to prove retrieval/availability and reproduce vintages; not a weather variable.,2026-06-18T22:51:53.536120+00:00,2026-06-18T22:51:53.536120+00:00
01_hko_daily_tmax_target,01_hko_daily_tmax_target/hko_daily_tmax_target_labels.parquet,parquet,availability_tier,string,nominal_text,49459,49459,0,0.0,KEEP,label_core,LEAKAGE_POLICY_METADATA,GATING_ONLY,NONE,100,Critical eligibility gate; never feed blindly as a meteorological predictor.,,
01_hko_daily_tmax_target,01_hko_daily_tmax_target/hko_daily_tmax_target_labels.parquet,parquet,operational_input_allowed,bool,boolean,49459,49459,0,0.0,KEEP,label_core,LEAKAGE_POLICY_METADATA,GATING_ONLY,NONE,100,Critical eligibility gate; never feed blindly as a meteorological predictor.,,
02_hko_daily_climate_all_elements,02_hko_daily_climate_all_elements/hko_daily_climate_elements.parquet,parquet,source_id,string,identifier_or_code,556399,556399,0,0.0,KEEP,diagnostic_physics,SOURCE_OR_CATALOG_METADATA,CONDITIONAL_CATEGORICAL_ONLY,NONE,15,"Useful for lineage/source-era grouping, not meteorology by itself.",,
02_hko_daily_climate_all_elements,02_hko_daily_climate_all_elements/hko_daily_climate_elements.parquet,parquet,content_sha256,string,hash_identifier,556399,556399,0,0.0,KEEP,diagnostic_physics,PROVENANCE_ONLY,NOT_A_PREDICTOR,NONE,0,"Integrity/deduplication key; essential for provenance, not forecasting.",,
02_hko_daily_climate_all_elements,02_hko_daily_climate_all_elements/hko_daily_climate_elements.parquet,parquet,raw_retrieved_at_utc,string,datetime_or_date,556399,556399,0,0.0,KEEP,diagnostic_physics,PROVENANCE_TIMESTAMP,GATING_OR_AUDIT_ONLY,VALIDATE_TIMEZONE,95,Needed to prove retrieval/availability and reproduce vintages; not a weather variable.,2026-06-18T22:51:28.588110+00:00,2026-06-18T22:52:35.306583+00:00
02_hko_daily_climate_all_elements,02_hko_daily_climate_all_elements/hko_daily_climate_elements.parquet,parquet,station_or_domain,string,nominal_text,556399,556399,0,0.0,KEEP,diagnostic_physics,MEASUREMENT_DIMENSION,JOIN_AND_PIVOT_KEY,NORMALIZE_CONTROLLED_VOCABULARY,70,Essential to interpret the long-form value.,,
02_hko_daily_climate_all_elements,02_hko_daily_climate_all_elements/hko_daily_climate_elements.parquet,parquet,variable,string,nominal_text,556399,556399,0,0.0,KEEP,diagnostic_physics,MEASUREMENT_DIMENSION,JOIN_AND_PIVOT_KEY,NORMALIZE_CONTROLLED_VOCABULARY,70,Essential to interpret the long-form value.,,
02_hko_daily_climate_all_elements,02_hko_daily_climate_all_elements/hko_daily_climate_elements.parquet,parquet,unit,string,nominal_text,556399,556399,0,0.0,KEEP,diagnostic_physics,MEASUREMENT_DIMENSION,JOIN_AND_PIVOT_KEY,NORMALIZE_CONTROLLED_VOCABULARY,70,Essential to interpret the long-form value.,,
02_hko_daily_climate_all_elements,02_hko_daily_climate_all_elements/hko_daily_climate_elements.parquet,parquet,local_date,string,datetime_or_date,556399,556399,0,0.0,KEEP,diagnostic_physics,VALID_DATE,DIAGNOSTIC_ALIGNMENT_ONLY,ENSURE_HKT_LOCAL_DATE,80,Needed for causal lagging and joins; same-day values remain blocked.,1884-01-01T00:00:00+00:00,2026-05-31T00:00:00+00:00
02_hko_daily_climate_all_elements,02_hko_daily_climate_all_elements/hko_daily_climate_elements.parquet,parquet,year,int64,numeric,556399,556399,0,0.0,DERIVE_NOT_STORE_DUPLICATE,diagnostic_physics,DERIVED_CALENDAR,NOT_DIRECT,NONE,5,Redundant with local_date.,1884.0,2026.0
02_hko_daily_climate_all_elements,02_hko_daily_climate_all_elements/hko_daily_climate_elements.parquet,parquet,month,int64,numeric,556399,556399,0,0.0,DERIVE_NOT_STORE_DUPLICATE,diagnostic_physics,DERIVED_CALENDAR,NOT_DIRECT,NONE,5,Redundant with local_date.,1.0,12.0
02_hko_daily_climate_all_elements,02_hko_daily_climate_all_elements/hko_daily_climate_elements.parquet,parquet,day,int64,numeric,556399,556399,0,0.0,DERIVE_NOT_STORE_DUPLICATE,diagnostic_physics,DERIVED_CALENDAR,NOT_DIRECT,NONE,5,Redundant with local_date.,1.0,31.0
02_hko_daily_climate_all_elements,02_hko_daily_climate_all_elements/hko_daily_climate_elements.parquet,parquet,value,double,numeric,556399,542089,14310,0.025719,KEEP,diagnostic_physics,DIAGNOSTIC_METEOROLOGICAL_VALUE,BLOCKED_UNTIL_FIRST_PUBLICATION_PROOF,VARIABLE_SPECIFIC_RANGE_AND_TRACE_CLEANING,85,"High physical value conditional on variable/station, but current finalized table is not operationally timestamp-proven.",-8.6,34029.0
02_hko_daily_climate_all_elements,02_hko_daily_climate_all_elements/hko_daily_climate_elements.parquet,parquet,value_precision,double,numeric,556399,542089,14310,0.025719,KEEP,diagnostic_physics,QUALITY_CONTROL,POSSIBLE_MISSINGNESS_OR_TRUST_FEATURE_ONLY,STANDARDIZE_ENUMS_AND_QUARANTINE_BAD_ROWS,35,"Quality/trust metadata; useful for filtering and possibly uncertainty, not primary physical signal.",0.01,1.0
02_hko_daily_climate_all_elements,02_hko_daily_climate_all_elements/hko_daily_climate_elements.parquet,parquet,completeness,string,nominal_text,556399,549005,7394,0.013289,KEEP,diagnostic_physics,QUALITY_CONTROL,POSSIBLE_MISSINGNESS_OR_TRUST_FEATURE_ONLY,STANDARDIZE_ENUMS_AND_QUARANTINE_BAD_ROWS,35,"Quality/trust metadata; useful for filtering and possibly uncertainty, not primary physical signal.",,
02_hko_daily_climate_all_elements,02_hko_daily_climate_all_elements/hko_daily_climate_elements.parquet,parquet,parse_issue,string,nominal_text,556399,14310,542089,0.974281,KEEP,diagnostic_physics,QUALITY_CONTROL,POSSIBLE_MISSINGNESS_OR_TRUST_FEATURE_ONLY,STANDARDIZE_ENUMS_AND_QUARANTINE_BAD_ROWS,35,"Quality/trust metadata; useful for filtering and possibly uncertainty, not primary physical signal.",,
02_hko_daily_climate_all_elements,02_hko_daily_climate_all_elements/hko_daily_climate_elements.parquet,parquet,availability_tier,string,nominal_text,556399,556399,0,0.0,KEEP,diagnostic_physics,LEAKAGE_POLICY_METADATA,GATING_ONLY,NONE,100,Critical eligibility gate; never feed blindly as a meteorological predictor.,,
02_hko_daily_climate_all_elements,02_hko_daily_climate_all_elements/hko_daily_climate_elements.parquet,parquet,operational_input_allowed,bool,boolean,556399,556399,0,0.0,KEEP,diagnostic_physics,LEAKAGE_POLICY_METADATA,GATING_ONLY,NONE,100,Critical eligibility gate; never feed blindly as a meteorological predictor.,,
02_hko_daily_climate_all_elements,02_hko_daily_climate_all_elements/hko_daily_climate_elements.parquet,parquet,source_time_policy,string,nominal_text,556399,556399,0,0.0,KEEP,diagnostic_physics,LEAKAGE_POLICY_METADATA,GATING_ONLY,NONE,100,Critical eligibility gate; never feed blindly as a meteorological predictor.,,
03_noaa_igra_upper_air_hkm00045004,03_noaa_igra_upper_air_hkm00045004/noaa_igra_hkm00045004_key_pressure_levels.parquet,parquet,source_id,string,identifier_or_code,477514,477514,0,0.0,KEEP,diagnostic_physics,SOURCE_OR_CATALOG_METADATA,CONDITIONAL_CATEGORICAL_ONLY,NONE,15,"Useful for lineage/source-era grouping, not meteorology by itself.",,
03_noaa_igra_upper_air_hkm00045004,03_noaa_igra_upper_air_hkm00045004/noaa_igra_hkm00045004_key_pressure_levels.parquet,parquet,content_sha256,string,hash_identifier,477514,477514,0,0.0,KEEP,diagnostic_physics,PROVENANCE_ONLY,NOT_A_PREDICTOR,NONE,0,"Integrity/deduplication key; essential for provenance, not forecasting.",,
03_noaa_igra_upper_air_hkm00045004,03_noaa_igra_upper_air_hkm00045004/noaa_igra_hkm00045004_key_pressure_levels.parquet,parquet,raw_retrieved_at_utc,string,datetime_or_date,477514,477514,0,0.0,KEEP,diagnostic_physics,PROVENANCE_TIMESTAMP,GATING_OR_AUDIT_ONLY,VALIDATE_TIMEZONE,95,Needed to prove retrieval/availability and reproduce vintages; not a weather variable.,2026-06-19T04:57:24.874712+00:00,2026-06-19T04:57:27.098275+00:00
03_noaa_igra_upper_air_hkm00045004,03_noaa_igra_upper_air_hkm00045004/noaa_igra_hkm00045004_key_pressure_levels.parquet,parquet,station_id,string,identifier_or_code,477514,477514,0,0.0,KEEP,diagnostic_physics,STATION_METADATA,JOIN_ONLY,USE_DATE_EFFECTIVE_STATION_METADATA,20,Station identity/location; account for station moves.,,
03_noaa_igra_upper_air_hkm00045004,03_noaa_igra_upper_air_hkm00045004/noaa_igra_hkm00045004_key_pressure_levels.parquet,parquet,valid_at_utc,string,datetime_or_date,477514,477514,0,0.0,KEEP,diagnostic_physics,VALID_TIME,DIAGNOSTIC_ALIGNMENT_ONLY,VERIFY_UTC_HKT_CONVERSION_AND_CUTOFF,90,"Critical temporal alignment, but not proof of operational availability.",1949-06-01T22:00:00+00:00,2026-06-17T18:00:00+00:00
03_noaa_igra_upper_air_hkm00045004,03_noaa_igra_upper_air_hkm00045004/noaa_igra_hkm00045004_key_pressure_levels.parquet,parquet,valid_at_hkt,string,datetime_or_date,477514,477514,0,0.0,KEEP,diagnostic_physics,VALID_TIME,DIAGNOSTIC_ALIGNMENT_ONLY,VERIFY_UTC_HKT_CONVERSION_AND_CUTOFF,90,"Critical temporal alignment, but not proof of operational availability.",1949-06-01T22:00:00+00:00,2026-06-17T18:00:00+00:00
03_noaa_igra_upper_air_hkm00045004,03_noaa_igra_upper_air_hkm00045004/noaa_igra_hkm00045004_key_pressure_levels.parquet,parquet,nominal_hour_utc,int64,numeric,477514,477514,0,0.0,KEEP,diagnostic_physics,VALID_TIME,DIAGNOSTIC_ALIGNMENT_ONLY,VERIFY_UTC_HKT_CONVERSION_AND_CUTOFF,90,"Critical temporal alignment, but not proof of operational availability.",0.0,23.0
03_noaa_igra_upper_air_hkm00045004,03_noaa_igra_upper_air_hkm00045004/noaa_igra_hkm00045004_key_pressure_levels.parquet,parquet,latitude,double,numeric,477514,477514,0,0.0,KEEP,diagnostic_physics,STATION_METADATA,JOIN_ONLY,USE_DATE_EFFECTIVE_STATION_METADATA,20,Station identity/location; account for station moves.,22.3119,22.3167
03_noaa_igra_upper_air_hkm00045004,03_noaa_igra_upper_air_hkm00045004/noaa_igra_hkm00045004_key_pressure_levels.parquet,parquet,longitude,double,numeric,477514,477514,0,0.0,KEEP,diagnostic_physics,STATION_METADATA,JOIN_ONLY,USE_DATE_EFFECTIVE_STATION_METADATA,20,Station identity/location; account for station moves.,114.1728,114.2
03_noaa_igra_upper_air_hkm00045004,03_noaa_igra_upper_air_hkm00045004/noaa_igra_hkm00045004_key_pressure_levels.parquet,parquet,availability_tier,string,nominal_text,477514,477514,0,0.0,KEEP,diagnostic_physics,LEAKAGE_POLICY_METADATA,GATING_ONLY,NONE,100,Critical eligibility gate; never feed blindly as a meteorological predictor.,,
03_noaa_igra_upper_air_hkm00045004,03_noaa_igra_upper_air_hkm00045004/noaa_igra_hkm00045004_key_pressure_levels.parquet,parquet,operational_input_allowed,bool,boolean,477514,477514,0,0.0,KEEP,diagnostic_physics,LEAKAGE_POLICY_METADATA,GATING_ONLY,NONE,100,Critical eligibility gate; never feed blindly as a meteorological predictor.,,
03_noaa_igra_upper_air_hkm00045004,03_noaa_igra_upper_air_hkm00045004/noaa_igra_hkm00045004_key_pressure_levels.parquet,parquet,release_latency_proven,bool,boolean,477514,477514,0,0.0,KEEP,diagnostic_physics,LEAKAGE_POLICY_METADATA,GATING_ONLY,NONE,100,Critical eligibility gate; never feed blindly as a meteorological predictor.,,
03_noaa_igra_upper_air_hkm00045004,03_noaa_igra_upper_air_hkm00045004/noaa_igra_hkm00045004_key_pressure_levels.parquet,parquet,source_time_policy,string,nominal_text,477514,477514,0,0.0,KEEP,diagnostic_physics,LEAKAGE_POLICY_METADATA,GATING_ONLY,NONE,100,Critical eligibility gate; never feed blindly as a meteorological predictor.,,
03_noaa_igra_upper_air_hkm00045004,03_noaa_igra_upper_air_hkm00045004/noaa_igra_hkm00045004_key_pressure_levels.parquet,parquet,level_type,int64,numeric,477514,477514,0,0.0,KEEP,diagnostic_physics,PROFILE_STRUCTURE,DIAGNOSTIC_ONLY,DECODE_LEVEL_CODES_AND_REMOVE_SENTINELS,55,Required to structure soundings; useful as coverage/quality context.,10.0,21.0
03_noaa_igra_upper_air_hkm00045004,03_noaa_igra_upper_air_hkm00045004/noaa_igra_hkm00045004_key_pressure_levels.parquet,parquet,elapsed_time_minutes,double,numeric,477514,603,476911,0.998737,KEEP_RAW_ONLY,diagnostic_physics,LOW_COVERAGE_PROFILE_METADATA,DIAGNOSTIC_ONLY,VERIFY_DEFINITION_AND_EXTREME_VALUES,10,Over 99% missing and extreme values; low current value.,0.0,5524.0
03_noaa_igra_upper_air_hkm00045004,03_noaa_igra_upper_air_hkm00045004/noaa_igra_hkm00045004_key_pressure_levels.parquet,parquet,pressure_hpa,double,numeric,477514,477514,0,0.0,KEEP,diagnostic_physics,PROFILE_STRUCTURE,DIAGNOSTIC_ONLY,DECODE_LEVEL_CODES_AND_REMOVE_SENTINELS,55,Required to structure soundings; useful as coverage/quality context.,199.7,1000.5
03_noaa_igra_upper_air_hkm00045004,03_noaa_igra_upper_air_hkm00045004/noaa_igra_hkm00045004_key_pressure_levels.parquet,parquet,pressure_flag,string,nominal_text,477514,477514,0,0.0,KEEP,diagnostic_physics,QUALITY_CONTROL,POSSIBLE_MISSINGNESS_OR_TRUST_FEATURE_ONLY,STANDARDIZE_ENUMS_AND_QUARANTINE_BAD_ROWS,35,"Quality/trust metadata; useful for filtering and possibly uncertainty, not primary physical signal.",,
03_noaa_igra_upper_air_hkm00045004,03_noaa_igra_upper_air_hkm00045004/noaa_igra_hkm00045004_key_pressure_levels.parquet,parquet,geopotential_height_m,double,numeric,477514,321656,155858,0.326395,KEEP_AND_REBUILD_CLEAN,diagnostic_physics,UPPER_AIR_PHYSICS,DIAGNOSTIC_ONLY_UNTIL_RELEASE_LATENCY_PROOF,MAP_-888.8_AND_-8888_TO_NULL_SCALE_RH_AND_RECOMPUTE_DERIVATIVES,90,Potentially strong physical mechanism signal; current profile shows sentinel/scaling contamination and no all-row release-latency proof.,-8888.0,12713.0
03_noaa_igra_upper_air_hkm00045004,03_noaa_igra_upper_air_hkm00045004/noaa_igra_hkm00045004_key_pressure_levels.parquet,parquet,geopotential_flag,string,nominal_text,477514,477514,0,0.0,KEEP,diagnostic_physics,QUALITY_CONTROL,POSSIBLE_MISSINGNESS_OR_TRUST_FEATURE_ONLY,STANDARDIZE_ENUMS_AND_QUARANTINE_BAD_ROWS,35,"Quality/trust metadata; useful for filtering and possibly uncertainty, not primary physical signal.",,
03_noaa_igra_upper_air_hkm00045004,03_noaa_igra_upper_air_hkm00045004/noaa_igra_hkm00045004_key_pressure_levels.parquet,parquet,temperature_c,double,numeric,477514,321949,155565,0.325781,KEEP_AND_REBUILD_CLEAN,diagnostic_physics,UPPER_AIR_PHYSICS,DIAGNOSTIC_ONLY_UNTIL_RELEASE_LATENCY_PROOF,MAP_-888.8_AND_-8888_TO_NULL_SCALE_RH_AND_RECOMPUTE_DERIVATIVES,90,Potentially strong physical mechanism signal; current profile shows sentinel/scaling contamination and no all-row release-latency proof.,-888.8,33.2
03_noaa_igra_upper_air_hkm00045004,03_noaa_igra_upper_air_hkm00045004/noaa_igra_hkm00045004_key_pressure_levels.parquet,parquet,temperature_flag,string,nominal_text,477514,477514,0,0.0,KEEP,diagnostic_physics,QUALITY_CONTROL,POSSIBLE_MISSINGNESS_OR_TRUST_FEATURE_ONLY,STANDARDIZE_ENUMS_AND_QUARANTINE_BAD_ROWS,35,"Quality/trust metadata; useful for filtering and possibly uncertainty, not primary physical signal.",,
03_noaa_igra_upper_air_hkm00045004,03_noaa_igra_upper_air_hkm00045004/noaa_igra_hkm00045004_key_pressure_levels.parquet,parquet,relative_humidity_pct,double,numeric,477514,53084,424430,0.888833,KEEP_AND_REBUILD_CLEAN,diagnostic_physics,UPPER_AIR_PHYSICS,DIAGNOSTIC_ONLY_UNTIL_RELEASE_LATENCY_PROOF,MAP_-888.8_AND_-8888_TO_NULL_SCALE_RH_AND_RECOMPUTE_DERIVATIVES,35,Potentially strong physical mechanism signal; current profile shows sentinel/scaling contamination and no all-row release-latency proof.,-8888.0,1000.0
03_noaa_igra_upper_air_hkm00045004,03_noaa_igra_upper_air_hkm00045004/noaa_igra_hkm00045004_key_pressure_levels.parquet,parquet,relative_humidity_flag,string,nominal_text,477514,477514,0,0.0,KEEP,diagnostic_physics,QUALITY_CONTROL,POSSIBLE_MISSINGNESS_OR_TRUST_FEATURE_ONLY,STANDARDIZE_ENUMS_AND_QUARANTINE_BAD_ROWS,35,"Quality/trust metadata; useful for filtering and possibly uncertainty, not primary physical signal.",,
03_noaa_igra_upper_air_hkm00045004,03_noaa_igra_upper_air_hkm00045004/noaa_igra_hkm00045004_key_pressure_levels.parquet,parquet,dewpoint_depression_c,double,numeric,477514,254167,223347,0.467729,KEEP_AND_REBUILD_CLEAN,diagnostic_physics,UPPER_AIR_PHYSICS,DIAGNOSTIC_ONLY_UNTIL_RELEASE_LATENCY_PROOF,MAP_-888.8_AND_-8888_TO_NULL_SCALE_RH_AND_RECOMPUTE_DERIVATIVES,90,Potentially strong physical mechanism signal; current profile shows sentinel/scaling contamination and no all-row release-latency proof.,-888.8,49.0
03_noaa_igra_upper_air_hkm00045004,03_noaa_igra_upper_air_hkm00045004/noaa_igra_hkm00045004_key_pressure_levels.parquet,parquet,dewpoint_depression_flag,string,nominal_text,477514,477514,0,0.0,KEEP,diagnostic_physics,QUALITY_CONTROL,POSSIBLE_MISSINGNESS_OR_TRUST_FEATURE_ONLY,STANDARDIZE_ENUMS_AND_QUARANTINE_BAD_ROWS,35,"Quality/trust metadata; useful for filtering and possibly uncertainty, not primary physical signal.",,
03_noaa_igra_upper_air_hkm00045004,03_noaa_igra_upper_air_hkm00045004/noaa_igra_hkm00045004_key_pressure_levels.parquet,parquet,wind_direction_deg,double,numeric,477514,462131,15383,0.032215,KEEP_AND_REBUILD_CLEAN,diagnostic_physics,UPPER_AIR_PHYSICS,DIAGNOSTIC_ONLY_UNTIL_RELEASE_LATENCY_PROOF,MAP_-888.8_AND_-8888_TO_NULL_SCALE_RH_AND_RECOMPUTE_DERIVATIVES,90,Potentially strong physical mechanism signal; current profile shows sentinel/scaling contamination and no all-row release-latency proof.,-8888.0,360.0
03_noaa_igra_upper_air_hkm00045004,03_noaa_igra_upper_air_hkm00045004/noaa_igra_hkm00045004_key_pressure_levels.parquet,parquet,wind_speed_mps,double,numeric,477514,463030,14484,0.030332,KEEP_AND_REBUILD_CLEAN,diagnostic_physics,UPPER_AIR_PHYSICS,DIAGNOSTIC_ONLY_UNTIL_RELEASE_LATENCY_PROOF,MAP_-888.8_AND_-8888_TO_NULL_SCALE_RH_AND_RECOMPUTE_DERIVATIVES,90,Potentially strong physical mechanism signal; current profile shows sentinel/scaling contamination and no all-row release-latency proof.,-888.8,136.0
03_noaa_igra_upper_air_hkm00045004,03_noaa_igra_upper_air_hkm00045004/noaa_igra_hkm00045004_key_pressure_levels.parquet,parquet,pressure_level_tag,string,nominal_text,477514,477514,0,0.0,KEEP,diagnostic_physics,PROFILE_STRUCTURE,DIAGNOSTIC_ONLY,DECODE_LEVEL_CODES_AND_REMOVE_SENTINELS,55,Required to structure soundings; useful as coverage/quality context.,,
03_noaa_igra_upper_air_hkm00045004,03_noaa_igra_upper_air_hkm00045004/noaa_igra_hkm00045004_sounding_features.parquet,parquet,source_id,string,identifier_or_code,88407,88407,0,0.0,KEEP,diagnostic_physics,SOURCE_OR_CATALOG_METADATA,CONDITIONAL_CATEGORICAL_ONLY,NONE,15,"Useful for lineage/source-era grouping, not meteorology by itself.",,
03_noaa_igra_upper_air_hkm00045004,03_noaa_igra_upper_air_hkm00045004/noaa_igra_hkm00045004_sounding_features.parquet,parquet,content_sha256,string,hash_identifier,88407,88407,0,0.0,KEEP,diagnostic_physics,PROVENANCE_ONLY,NOT_A_PREDICTOR,NONE,0,"Integrity/deduplication key; essential for provenance, not forecasting.",,
