feature_name,feature_scope,source_family,unit,formula,strict_allowed,proxy_allowed,shadow_allowed
gefsens__center__tmax_p25_c,strict,gefsens,mixed,strict H24N GribStream safe-row GEFS member features at HKO center,True,False,False
gefsens__center__tmax_p50_c,strict,gefsens,mixed,strict H24N GribStream safe-row GEFS member features at HKO center,True,False,False
gefsens__center__tmax_p75_c,strict,gefsens,mixed,strict H24N GribStream safe-row GEFS member features at HKO center,True,False,False
gefsens__center__tmax_p90_c,strict,gefsens,mixed,strict H24N GribStream safe-row GEFS member features at HKO center,True,False,False
gefsens__center__tmax_spread_p90_p10_c,strict,gefsens,mixed,strict H24N GribStream safe-row GEFS member features at HKO center,True,False,False
gefsmean__airport__tmax_c,strict,gefsmean,mixed,strict H24N GribStream safe-row GEFS mean features,True,False,False
gefsmean__center__onshore_east_component_mps_mean,strict,gefsmean,mixed,strict H24N GribStream safe-row GEFS mean features,True,False,False
gefsmean__center__pwat_kg_m2_mean,strict,gefsmean,mixed,strict H24N GribStream safe-row GEFS mean features,True,False,False
gefsmean__center__tmax_c,strict,gefsmean,mixed,strict H24N GribStream safe-row GEFS mean features,True,False,False
gefsmean__center__wind_speed_10m_mps_mean,strict,gefsmean,mixed,strict H24N GribStream safe-row GEFS mean features,True,False,False
gefsmean__inland_nw__tmax_c,strict,gefsmean,mixed,strict H24N GribStream safe-row GEFS mean features,True,False,False
gefsmean__kowloon__tmax_c,strict,gefsmean,mixed,strict H24N GribStream safe-row GEFS mean features,True,False,False
gefsmean__lantau__tmax_c,strict,gefsmean,mixed,strict H24N GribStream safe-row GEFS mean features,True,False,False
gefsmean__local_e__tmax_c,strict,gefsmean,mixed,strict H24N GribStream safe-row GEFS mean features,True,False,False
gefsmean__local_n__tmax_c,strict,gefsmean,mixed,strict H24N GribStream safe-row GEFS mean features,True,False,False
gefsmean__local_s__tmax_c,strict,gefsmean,mixed,strict H24N GribStream safe-row GEFS mean features,True,False,False
gefsmean__local_w__tmax_c,strict,gefsmean,mixed,strict H24N GribStream safe-row GEFS mean features,True,False,False
gefsmean__marine_s__tmax_c,strict,gefsmean,mixed,strict H24N GribStream safe-row GEFS mean features,True,False,False
gefsmean__nt_east__tmax_c,strict,gefsmean,mixed,strict H24N GribStream safe-row GEFS mean features,True,False,False
gefsmean__urban_ne__tmax_c,strict,gefsmean,mixed,strict H24N GribStream safe-row GEFS mean features,True,False,False
gfs__airport__tmax_c,strict,gfs,mixed,strict H24N GribStream safe-row deterministic GFS features,True,False,False
gfs__center__dewpoint_2m_c_mean,strict,gfs,mixed,strict H24N GribStream safe-row deterministic GFS features,True,False,False
gfs__center__dewpoint_change_proxy_c,strict,gfs,mixed,strict H24N GribStream safe-row deterministic GFS features,True,False,False
gfs__center__low_cloud_pct_mean,strict,gfs,mixed,strict H24N GribStream safe-row deterministic GFS features,True,False,False
gfs__center__onshore_easterly_component_mps,strict,gfs,mixed,strict H24N GribStream safe-row deterministic GFS features,True,False,False
gfs__center__precip_mm_sum,strict,gfs,mixed,strict H24N GribStream safe-row deterministic GFS features,True,False,False
gfs__center__relative_humidity_700_pct_mean,strict,gfs,mixed,strict H24N GribStream safe-row deterministic GFS features,True,False,False
gfs__center__shortwave_w_m2_mean,strict,gfs,mixed,strict H24N GribStream safe-row deterministic GFS features,True,False,False
gfs__center__t850_c_mean,strict,gfs,mixed,strict H24N GribStream safe-row deterministic GFS features,True,False,False
gfs__center__temp_dewpoint_spread_mean_c,strict,gfs,mixed,strict H24N GribStream safe-row deterministic GFS features,True,False,False
gfs__center__tmax_c,strict,gfs,mixed,strict H24N GribStream safe-row deterministic GFS features,True,False,False
gfs__center__wind_speed_10m_mean_mps,strict,gfs,mixed,strict H24N GribStream safe-row deterministic GFS features,True,False,False
gfs__center__z500_m_mean,strict,gfs,mixed,strict H24N GribStream safe-row deterministic GFS features,True,False,False
gfs__inland_nw__tmax_c,strict,gfs,mixed,strict H24N GribStream safe-row deterministic GFS features,True,False,False
gfs__kowloon__tmax_c,strict,gfs,mixed,strict H24N GribStream safe-row deterministic GFS features,True,False,False
gfs__lantau__tmax_c,strict,gfs,mixed,strict H24N GribStream safe-row deterministic GFS features,True,False,False
gfs__local_e__tmax_c,strict,gfs,mixed,strict H24N GribStream safe-row deterministic GFS features,True,False,False
gfs__local_n__tmax_c,strict,gfs,mixed,strict H24N GribStream safe-row deterministic GFS features,True,False,False
gfs__local_s__tmax_c,strict,gfs,mixed,strict H24N GribStream safe-row deterministic GFS features,True,False,False
gfs__local_w__tmax_c,strict,gfs,mixed,strict H24N GribStream safe-row deterministic GFS features,True,False,False
gfs__marine_s__tmax_c,strict,gfs,mixed,strict H24N GribStream safe-row deterministic GFS features,True,False,False
gfs__nt_east__tmax_c,strict,gfs,mixed,strict H24N GribStream safe-row deterministic GFS features,True,False,False
gfs__spatial__center_minus_marine_s_tmax_c,strict,gfs,mixed,strict H24N GribStream safe-row deterministic GFS features,True,False,False
gfs__spatial__inland_nw_minus_center_tmax_c,strict,gfs,mixed,strict H24N GribStream safe-row deterministic GFS features,True,False,False
gfs__spatial__inland_nw_minus_marine_s_tmax_c,strict,gfs,mixed,strict H24N GribStream safe-row deterministic GFS features,True,False,False
gfs__spatial__local_e_minus_local_w_tmax_c,strict,gfs,mixed,strict H24N GribStream safe-row deterministic GFS features,True,False,False
gfs__spatial__local_n_minus_local_s_tmax_c,strict,gfs,mixed,strict H24N GribStream safe-row deterministic GFS features,True,False,False
gfs__urban_ne__tmax_c,strict,gfs,mixed,strict H24N GribStream safe-row deterministic GFS features,True,False,False
official__forecast_max_c,strict,official,mixed,latest eligible pre-freeze official HKO row and pre-freeze revision path,True,False,False
official__forecast_max_minus_gefs_median_c,strict,official,mixed,latest eligible pre-freeze official HKO row and pre-freeze revision path,True,False,False
official__forecast_max_minus_gfs_center_tmax_c,strict,official,mixed,latest eligible pre-freeze official HKO row and pre-freeze revision path,True,False,False
official__forecast_max_minus_target_roll7_c,strict,official,mixed,latest eligible pre-freeze official HKO row and pre-freeze revision path,True,False,False
official__forecast_midpoint_c,strict,official,mixed,latest eligible pre-freeze official HKO row and pre-freeze revision path,True,False,False
official__forecast_min_c,strict,official,mixed,latest eligible pre-freeze official HKO row and pre-freeze revision path,True,False,False
official__forecast_range_c,strict,official,mixed,latest eligible pre-freeze official HKO row and pre-freeze revision path,True,False,False
official__hours_before_cutoff,strict,official,mixed,latest eligible pre-freeze official HKO row and pre-freeze revision path,True,False,False
official__issue_hour_hkt,strict,official,mixed,latest eligible pre-freeze official HKO row and pre-freeze revision path,True,False,False
official__psr_numeric_proxy,strict,official,mixed,latest eligible pre-freeze official HKO row and pre-freeze revision path,True,False,False
official__revision_count,strict,official,mixed,latest eligible pre-freeze official HKO row and pre-freeze revision path,True,False,False
official__revision_max_delta_c,strict,official,mixed,latest eligible pre-freeze official HKO row and pre-freeze revision path,True,False,False
official__revision_min_delta_c,strict,official,mixed,latest eligible pre-freeze official HKO row and pre-freeze revision path,True,False,False
official__revision_range_delta_c,strict,official,mixed,latest eligible pre-freeze official HKO row and pre-freeze revision path,True,False,False
official__text_cloudy_flag,strict,official,mixed,latest eligible pre-freeze official HKO row and pre-freeze revision path,True,False,False
official__text_easterly_flag,strict,official,mixed,latest eligible pre-freeze official HKO row and pre-freeze revision path,True,False,False
official__text_fine_flag,strict,official,mixed,latest eligible pre-freeze official HKO row and pre-freeze revision path,True,False,False
official__text_hot_flag,strict,official,mixed,latest eligible pre-freeze official HKO row and pre-freeze revision path,True,False,False
official__text_light_wind_flag,strict,official,mixed,latest eligible pre-freeze official HKO row and pre-freeze revision path,True,False,False
official__text_mist_fog_flag,strict,official,mixed,latest eligible pre-freeze official HKO row and pre-freeze revision path,True,False,False
official__text_showers_flag,strict,official,mixed,latest eligible pre-freeze official HKO row and pre-freeze revision path,True,False,False
official__text_thunderstorm_flag,strict,official,mixed,latest eligible pre-freeze official HKO row and pre-freeze revision path,True,False,False
official__text_very_hot_flag,strict,official,mixed,latest eligible pre-freeze official HKO row and pre-freeze revision path,True,False,False
online__final_system__global__correction_bias_h20_capped_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__final_system__global__correction_bias_h20_shrunk_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__final_system__global__error_volatility_h10_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__final_system__global__error_volatility_h20_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__final_system__global__error_volatility_h40_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__final_system__global__error_volatility_h5_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__final_system__global__ewma_abs_error_h10_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__final_system__global__ewma_abs_error_h20_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__final_system__global__ewma_abs_error_h40_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__final_system__global__ewma_abs_error_h5_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__final_system__global__ewma_bias_h10_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__final_system__global__ewma_bias_h20_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__final_system__global__ewma_bias_h40_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__final_system__global__ewma_bias_h5_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__final_system__global__ewma_sq_error_h10_c2,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__final_system__global__ewma_sq_error_h20_c2,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__final_system__global__ewma_sq_error_h40_c2,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__final_system__global__ewma_sq_error_h5_c2,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__final_system__global__expected_abs_error_h20_shrunk_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__final_system__global__n_prior_rows,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__final_system__global__neutral_streak_days,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__final_system__global__overforecast_streak_days,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__final_system__global__state_available,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__final_system__global__underforecast_streak_days,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__final_system__global__warmup_status_code,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__gefs_prob_mos__global__correction_bias_h20_capped_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__gefs_prob_mos__global__correction_bias_h20_shrunk_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__gefs_prob_mos__global__error_volatility_h10_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__gefs_prob_mos__global__error_volatility_h20_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__gefs_prob_mos__global__error_volatility_h40_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__gefs_prob_mos__global__error_volatility_h5_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__gefs_prob_mos__global__ewma_abs_error_h10_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__gefs_prob_mos__global__ewma_abs_error_h20_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__gefs_prob_mos__global__ewma_abs_error_h40_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__gefs_prob_mos__global__ewma_abs_error_h5_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__gefs_prob_mos__global__ewma_bias_h10_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__gefs_prob_mos__global__ewma_bias_h20_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__gefs_prob_mos__global__ewma_bias_h40_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__gefs_prob_mos__global__ewma_bias_h5_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__gefs_prob_mos__global__ewma_sq_error_h10_c2,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__gefs_prob_mos__global__ewma_sq_error_h20_c2,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__gefs_prob_mos__global__ewma_sq_error_h40_c2,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__gefs_prob_mos__global__ewma_sq_error_h5_c2,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__gefs_prob_mos__global__expected_abs_error_h20_shrunk_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__gefs_prob_mos__global__n_prior_rows,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__gefs_prob_mos__global__neutral_streak_days,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__gefs_prob_mos__global__overforecast_streak_days,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__gefs_prob_mos__global__state_available,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__gefs_prob_mos__global__underforecast_streak_days,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__gefs_prob_mos__global__warmup_status_code,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__gfs_mos__global__correction_bias_h20_capped_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__gfs_mos__global__correction_bias_h20_shrunk_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__gfs_mos__global__error_volatility_h10_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__gfs_mos__global__error_volatility_h20_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__gfs_mos__global__error_volatility_h40_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__gfs_mos__global__error_volatility_h5_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__gfs_mos__global__ewma_abs_error_h10_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__gfs_mos__global__ewma_abs_error_h20_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__gfs_mos__global__ewma_abs_error_h40_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__gfs_mos__global__ewma_abs_error_h5_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__gfs_mos__global__ewma_bias_h10_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__gfs_mos__global__ewma_bias_h20_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__gfs_mos__global__ewma_bias_h40_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__gfs_mos__global__ewma_bias_h5_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__gfs_mos__global__ewma_sq_error_h10_c2,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__gfs_mos__global__ewma_sq_error_h20_c2,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__gfs_mos__global__ewma_sq_error_h40_c2,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__gfs_mos__global__ewma_sq_error_h5_c2,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__gfs_mos__global__expected_abs_error_h20_shrunk_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__gfs_mos__global__n_prior_rows,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__gfs_mos__global__neutral_streak_days,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__gfs_mos__global__overforecast_streak_days,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__gfs_mos__global__state_available,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__gfs_mos__global__underforecast_streak_days,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__gfs_mos__global__warmup_status_code,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__global__correction_bias_h20_capped_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__global__correction_bias_h20_shrunk_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__global__error_volatility_h10_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__global__error_volatility_h20_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__global__error_volatility_h40_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__global__error_volatility_h5_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__global__ewma_abs_error_h10_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__global__ewma_abs_error_h20_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__global__ewma_abs_error_h40_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__global__ewma_abs_error_h5_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__global__ewma_bias_h10_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__global__ewma_bias_h20_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__global__ewma_bias_h40_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__global__ewma_bias_h5_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__global__ewma_sq_error_h10_c2,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__global__ewma_sq_error_h20_c2,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__global__ewma_sq_error_h40_c2,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__global__ewma_sq_error_h5_c2,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__global__expected_abs_error_h20_shrunk_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__global__n_prior_rows,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__global__neutral_streak_days,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__global__overforecast_streak_days,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__global__state_available,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__global__underforecast_streak_days,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__global__warmup_status_code,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__month__correction_bias_h20_capped_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__month__correction_bias_h20_shrunk_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__month__error_volatility_h10_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__month__error_volatility_h20_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__month__error_volatility_h40_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__month__error_volatility_h5_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__month__ewma_abs_error_h10_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__month__ewma_abs_error_h20_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__month__ewma_abs_error_h40_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__month__ewma_abs_error_h5_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__month__ewma_bias_h10_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__month__ewma_bias_h20_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__month__ewma_bias_h40_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__month__ewma_bias_h5_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__month__ewma_sq_error_h10_c2,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__month__ewma_sq_error_h20_c2,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__month__ewma_sq_error_h40_c2,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__month__ewma_sq_error_h5_c2,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__month__expected_abs_error_h20_shrunk_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__month__n_prior_rows,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__month__neutral_streak_days,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__month__overforecast_streak_days,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__month__state_available,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__month__underforecast_streak_days,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__month__warmup_status_code,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__season__correction_bias_h20_capped_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__season__correction_bias_h20_shrunk_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__season__error_volatility_h10_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__season__error_volatility_h20_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__season__error_volatility_h40_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__season__error_volatility_h5_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__season__ewma_abs_error_h10_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__season__ewma_abs_error_h20_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__season__ewma_abs_error_h40_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__season__ewma_abs_error_h5_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__season__ewma_bias_h10_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__season__ewma_bias_h20_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__season__ewma_bias_h40_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__season__ewma_bias_h5_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__season__ewma_sq_error_h10_c2,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__season__ewma_sq_error_h20_c2,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
