script,category,lifecycle,risk,project_paths_detected,execute_guard_detected,main_guard_detected,bytes
monitor_hko_official_backfill.py,operations,operator_workflow,mutation_or_process,False,False,True,20825
normalize_public_gfs_gefs_himawari_smoke.py,builder,maintained_utility,offline_or_derived,False,False,True,29212
organize_human_dataset_folders.py,utility,active_operator,offline_or_derived,True,False,True,11869
poll_daily_extract.py,utility,maintained_utility,offline_or_derived,False,False,True,9155
profile_dataset_attributes_for_gpt_pro.py,diagnostic,active_operator,offline_or_derived,True,False,True,30375
report_acquisition_progress.py,utility,maintained_utility,offline_or_derived,False,False,True,13738
report_source_family_coverage.py,utility,maintained_utility,offline_or_derived,False,False,True,9672
report_station_weather_coverage.py,utility,maintained_utility,offline_or_derived,False,False,True,9056
reset_tactical_gribstream_store.py,operations,active_operator,mutation_or_process,True,True,True,11579
resume_hko_official_backfill.py,operations,active_operator,mutation_or_process,True,False,True,14650
run_hkg_t24_0078_prior_only_residual_specialists.py,workflow,research_workflow,offline_or_derived,False,False,True,33561
run_hkg_t24_0079_guarded_specialist_combination.py,workflow,research_workflow,offline_or_derived,False,False,True,37204
run_hkg_t24_0080_source_era_hardened_specialist_gate.py,workflow,research_workflow,offline_or_derived,False,False,True,25515
run_hkg_t24_0081_rss_gate_stability_stress.py,workflow,research_workflow,offline_or_derived,False,False,True,23909
run_hkg_t24_0082_refreshed_archive_replay_readiness_audit.py,workflow,research_workflow,offline_or_derived,False,False,True,25738
run_hkg_t24_0083_expanded_frame_official_anchor_replay.py,workflow,research_workflow,offline_or_derived,False,False,True,31876
run_hkg_t24_0084_expanded_frame_hardened_official_specialists.py,workflow,research_workflow,offline_or_derived,False,False,True,28822
run_hkg_t24_0085_long_history_feature_station_residual_bridge.py,workflow,research_workflow,offline_or_derived,False,False,True,29869
run_hkg_t24_0086_guarded_long_history_residual_specialists.py,workflow,research_workflow,offline_or_derived,False,False,True,25605
run_hkg_t24_0087_long_history_signal_interaction_specialists.py,workflow,research_workflow,offline_or_derived,False,False,True,25964
run_hkg_t24_0088_prior_gated_specialist_stack.py,workflow,research_workflow,offline_or_derived,False,False,True,21485
run_hkg_t24_0089_remaining_error_regime_autopsy.py,workflow,research_workflow,offline_or_derived,False,False,True,30831
run_hkg_t24_0090_guarded_specialists_from_error_autopsy.py,workflow,research_workflow,offline_or_derived,False,False,True,22020
run_hkg_t24_0091_near_miss_specialist_failure_analysis.py,workflow,research_workflow,offline_or_derived,False,False,True,14634
run_hkg_t24_0092_blocking_slice_guarded_specialists.py,workflow,research_workflow,offline_or_derived,False,False,True,13688
run_hkg_t24_0093_guarded_champion_sensitivity_check.py,workflow,retained_reproduction,offline_or_derived,True,False,True,27864
run_hkg_t24_0094_expanded_high_error_interaction_lab.py,workflow,research_workflow,offline_or_derived,False,False,True,28402
run_hkg_t24_0095_mam_error_direction_split_lab.py,workflow,retained_reproduction,offline_or_derived,True,False,True,32145
run_hkg_t24_0096_directional_cell_failure_audit.py,workflow,research_workflow,offline_or_derived,False,False,True,15985
run_hkg_t24_0097_stable_directional_cell_specialist.py,workflow,research_workflow,offline_or_derived,False,False,True,25824
run_hkg_t24_0098_source_submonth_stable_cell_specialist.py,workflow,research_workflow,offline_or_derived,False,False,True,29854
run_hkg_t24_0099_mam_cell_policy_sensitivity.py,workflow,research_workflow,offline_or_derived,False,False,True,21110
run_hkg_t24_0100_stable_mam_cell_feature_atlas.py,workflow,research_workflow,offline_or_derived,False,False,True,34848
run_hkg_t24_0101_stable_mam_cell_feature_specialists.py,workflow,research_workflow,offline_or_derived,False,False,True,28311
run_hkg_t24_0102_timestamp_proof_unlock_queue.py,workflow,retained_reproduction,offline_or_derived,True,False,True,26654
run_hkg_t24_0103_current_rss_continuation_without_blocked_sources.py,workflow,research_workflow,offline_or_derived,False,False,True,22245
run_hkg_t24_0105_0183_beastmode_roadmap.py,workflow,retained_reproduction,offline_or_derived,True,False,True,99221
run_hkg_t24_0184_hf_teacher_proxy_causal_memory_router.py,workflow,retained_reproduction,offline_or_derived,True,False,True,51831
run_hkg_t24_0185_lag7_online_residual_memory_router.py,workflow,research_workflow,offline_or_derived,False,False,True,39836
run_hkg_t24_0186_lag7_memory_monthly_noharm_gate.py,workflow,research_workflow,offline_or_derived,False,False,True,31720
run_hkg_t24_0187_deployable_isd_memory_residual_fusion.py,workflow,research_workflow,offline_or_derived,False,False,True,41716
run_hkg_t24_0188_nested_expert_router_0185_0187.py,workflow,research_workflow,offline_or_derived,False,False,True,36496
run_hkg_t24_0189_t7_online_expert_weighting.py,workflow,research_workflow,offline_or_derived,False,False,True,36666
run_hkg_t24_0190_t7_post_ensemble_residual_calibration.py,workflow,research_workflow,offline_or_derived,False,False,True,30112
run_hkg_t24_0191_t7_sign_asymmetric_residual_calibration.py,workflow,research_workflow,offline_or_derived,False,False,True,31850
run_hkg_t24_0192_t7_tail_risk_trust_governor.py,workflow,research_workflow,offline_or_derived,False,False,True,33247
run_hkg_t24_0193_source_era_residual_bridge.py,workflow,research_workflow,offline_or_derived,False,False,True,31257
run_hkg_t24_0194_isd_role_compressed_regime_proxy.py,workflow,research_workflow,offline_or_derived,False,False,True,48472
run_hkg_t24_0195_june_warm_season_noharm_governor.py,workflow,research_workflow,offline_or_derived,False,False,True,34196
run_hkg_t24_0196_station_network_tail_conditioned_residual_expert.py,workflow,research_workflow,offline_or_derived,False,False,True,38660
run_hkg_t24_0197_correction_saturation_trust_governor.py,workflow,research_workflow,offline_or_derived,False,False,True,33992
run_hkg_t24_0198_source_era_online_expert_router.py,workflow,research_workflow,offline_or_derived,False,False,True,38264
run_hkg_t24_0199_station_role_feature_family_replay.py,workflow,research_workflow,offline_or_derived,False,False,True,34461
run_hkg_t24_0200_climatological_analogue_blend.py,workflow,research_workflow,offline_or_derived,False,False,True,32677
run_hkg_t24_0201_independent_feature_group_stacked_router.py,workflow,research_workflow,offline_or_derived,False,False,True,43394
run_hkg_t24_0202_operational_nwp_backfill_requirement_study.py,workflow,research_workflow,offline_or_derived,False,False,True,25769
run_hkg_t24_0203_july_october_micro_no_harm_governor.py,workflow,research_workflow,offline_or_derived,False,False,True,38819
run_hkg_t24_0204_external_forecast_vintage_acquisition_plan.py,workflow,research_workflow,offline_or_derived,False,False,True,21384
run_hkg_t24_0205_t7_mature_synoptic_trajectory_residual.py,workflow,research_workflow,offline_or_derived,False,False,True,38698
run_hkg_t24_0215_gpt_pro_point_forecast_strategy.py,workflow,active_research,offline_or_derived,True,False,True,164747
run_hkg_t24_50_long_history_experiments.py,workflow,research_workflow,offline_or_derived,True,False,True,189473
run_hkg_t24_beastmode_signal_discovery.py,workflow,retained_reproduction,offline_or_derived,True,False,True,50876
run_hkg_t24_candidate_residual_feature_design_notes.py,workflow,research_workflow,offline_or_derived,False,False,True,23728
run_hkg_t24_candidate_timestamp_eligibility_audit.py,workflow,retained_reproduction,offline_or_derived,True,False,True,21399
run_hkg_t24_cell_robustness_smooth_shrinkage.py,workflow,research_workflow,offline_or_derived,False,False,True,38954
run_hkg_t24_cluster_centroid_soft_gating.py,workflow,research_workflow,offline_or_derived,False,False,True,39824
run_hkg_t24_composite_expert_stack.py,workflow,research_workflow,offline_or_derived,False,False,True,12534
run_hkg_t24_deep_signal_forensics.py,workflow,research_workflow,offline_or_derived,False,False,True,37229
run_hkg_t24_era_source_aware_fusion_model.py,workflow,research_workflow,offline_or_derived,False,False,True,41014
run_hkg_t24_failure_mode_specialists.py,workflow,research_workflow,offline_or_derived,False,False,True,27540
run_hkg_t24_forecast_anchor_forensics.py,workflow,research_workflow,offline_or_derived,True,False,True,24318
run_hkg_t24_forecast_archive_continuous_scored_export.py,workflow,research_workflow,offline_or_derived,False,False,True,27508
run_hkg_t24_forecast_history_state_deepening.py,workflow,research_workflow,offline_or_derived,False,False,True,38390
run_hkg_t24_forecast_revision_momentum_deep_dive.py,workflow,research_workflow,offline_or_derived,False,False,True,50363
run_hkg_t24_gated_residual_specialist_screen.py,workflow,retained_reproduction,offline_or_derived,True,False,True,33187
run_hkg_t24_long_history_cross_family_interaction_atlas.py,workflow,retained_reproduction,offline_or_derived,True,False,True,43215
run_hkg_t24_longhist_signal_atlas.py,workflow,research_workflow,offline_or_derived,False,False,True,23330
run_hkg_t24_missing_press_raw_detail_backfill_or_blocker.py,workflow,research_workflow,network,False,False,True,21305
run_hkg_t24_multi_signal_local_residual_lab.py,workflow,research_workflow,offline_or_derived,False,False,True,35778
run_hkg_t24_multistation_attribute_information_gain.py,workflow,research_workflow,offline_or_derived,False,False,True,28213
run_hkg_t24_nonlinear_local_residual_fusion_lab.py,workflow,research_workflow,offline_or_derived,False,False,True,41599
run_hkg_t24_official_anchor_analog_screen.py,workflow,research_workflow,offline_or_derived,False,False,True,15731
run_hkg_t24_official_anchor_correction_ladder.py,workflow,research_workflow,offline_or_derived,False,False,True,17945
run_hkg_t24_official_anchor_expert_blend_screen.py,workflow,research_workflow,offline_or_derived,False,False,True,17934
run_hkg_t24_official_failure_mode_segmentation.py,workflow,research_workflow,offline_or_derived,False,False,True,27334
run_hkg_t24_official_residual_source_text_range_dynamics.py,workflow,research_workflow,offline_or_derived,False,False,True,51123
run_hkg_t24_online_no_regret_trust_router.py,workflow,research_workflow,offline_or_derived,False,False,True,32219
run_hkg_t24_online_residual_memory_halflife.py,workflow,research_workflow,offline_or_derived,False,False,True,34322
run_hkg_t24_online_residual_memory_refinement.py,workflow,research_workflow,offline_or_derived,False,False,True,13990
run_hkg_t24_press_archive_raw_detail_gap_audit.py,workflow,research_workflow,offline_or_derived,False,False,True,15340
run_hkg_t24_pressure_gradient_experts.py,workflow,research_workflow,offline_or_derived,False,False,True,25034
run_hkg_t24_pressure_regime_interaction_atlas.py,workflow,research_workflow,offline_or_derived,False,False,True,35022
run_hkg_t24_prior_calibrated_fusion_screen.py,workflow,research_workflow,offline_or_derived,False,False,True,31000
run_hkg_t24_r02_long_history.py,workflow,retained_reproduction,offline_or_derived,True,False,True,33137
run_hkg_t24_r03_tmax_anatomy.py,workflow,retained_reproduction,offline_or_derived,True,False,True,49174
run_hkg_t24_r04_thermal_trajectory.py,workflow,retained_reproduction,offline_or_derived,True,False,True,41231
run_hkg_t24_r05_thermal_memory.py,workflow,retained_reproduction,offline_or_derived,True,False,True,31314
run_hkg_t24_r06_moisture_state.py,workflow,retained_reproduction,offline_or_derived,True,False,True,51368
run_hkg_t24_r07_transition_detection.py,workflow,retained_reproduction,offline_or_derived,True,False,True,42176
run_hkg_t24_r08_wind_advection.py,workflow,retained_reproduction,offline_or_derived,True,False,True,44932
run_hkg_t24_r09_station_temperature_gradient.py,workflow,retained_reproduction,offline_or_derived,True,False,True,45058
run_hkg_t24_r10_latent_spatial_modes.py,workflow,retained_reproduction,offline_or_derived,True,False,True,30886
run_hkg_t24_r11_dynamic_upwind_station_selection.py,workflow,retained_reproduction,offline_or_derived,True,False,True,23854
run_hkg_t24_r12_solar_radiation.py,workflow,retained_reproduction,offline_or_derived,True,False,True,34559
run_hkg_t24_r13_to_r30_precondition_gates.py,workflow,retained_reproduction,offline_or_derived,True,False,True,36656
run_hkg_t24_r14_r17_robust_long_history.py,workflow,retained_reproduction,offline_or_derived,True,False,True,57183
run_hkg_t24_regime_expert_factory.py,workflow,research_workflow,offline_or_derived,False,False,True,25381
run_hkg_t24_regime_gated_specialist_selector.py,workflow,research_workflow,offline_or_derived,False,False,True,29895
run_hkg_t24_remaining_0075_error_feature_mining.py,workflow,research_workflow,offline_or_derived,False,False,True,23936
run_hkg_t24_residual_failure_cluster_discovery.py,workflow,research_workflow,offline_or_derived,False,False,True,45482
run_hkg_t24_revision_centroid_stack_ablation.py,workflow,research_workflow,offline_or_derived,False,False,True,30104
run_hkg_t24_router_gate_stack_screen.py,workflow,research_workflow,offline_or_derived,False,False,True,40625
run_hkg_t24_router_simplification_or_archive_refresh_decision.py,workflow,research_workflow,offline_or_derived,False,False,True,25182
run_hkg_t24_smooth_gated_pressure_experts.py,workflow,research_workflow,offline_or_derived,False,False,True,25580
run_hkg_t24_smooth_residual_archetype_specialists.py,workflow,research_workflow,offline_or_derived,False,False,True,43322
run_hkg_t24_source_era_specific_shrinkage.py,workflow,research_workflow,offline_or_derived,False,False,True,37995
run_hkg_t24_sparse_specialist_delta_stack.py,workflow,research_workflow,offline_or_derived,False,False,True,36374
run_hkg_t24_stack_trust_meta_features.py,workflow,research_workflow,offline_or_derived,False,False,True,36339
run_hkg_t24_station_contribution_atlas.py,workflow,retained_reproduction,offline_or_derived,True,False,True,35556
run_hkg_t24_station_feature_bucket_residual_mining.py,workflow,research_workflow,offline_or_derived,False,False,True,53654
run_hkg_t24_station_feature_guarded_stack.py,workflow,research_workflow,offline_or_derived,False,False,True,27367
run_hkg_t24_station_lag_slope_information_atlas.py,workflow,research_workflow,offline_or_derived,False,False,True,28951
run_hkg_t24_station_network_forecast_residual_interaction_mining.py,workflow,research_workflow,offline_or_derived,False,False,True,41920
run_hkg_t24_station_network_forecast_stack.py,workflow,research_workflow,offline_or_derived,False,False,True,52635
run_hkg_t24_station_network_smooth_local_residual_models.py,workflow,research_workflow,offline_or_derived,False,False,True,34159
run_hkg_t24_station_official_family_router.py,workflow,research_workflow,offline_or_derived,False,False,True,36348
run_hkg_t24_station_only_failure_mode_analysis.py,workflow,research_workflow,offline_or_derived,False,False,True,24229
run_hkg_t24_station_only_february_march_transition_specialist.py,workflow,research_workflow,offline_or_derived,False,False,True,35678
run_hkg_t24_station_only_guarded_candidate_stack.py,workflow,research_workflow,offline_or_derived,False,False,True,30416
run_hkg_t24_station_only_heat_proxy_specialist_validation.py,workflow,research_workflow,offline_or_derived,False,False,True,37371
run_hkg_t24_station_only_late_period_bias_repair.py,workflow,research_workflow,offline_or_derived,False,False,True,27602
run_hkg_t24_station_only_nearby_temperature_level_error_scale.py,workflow,research_workflow,offline_or_derived,False,False,True,32064
run_hkg_t24_station_only_pressure_high_uncertainty_guard.py,workflow,research_workflow,offline_or_derived,False,False,True,34771
run_hkg_t24_station_only_residual_specialist_design_queue.py,workflow,research_workflow,offline_or_derived,False,False,True,20054
run_hkg_t24_station_only_spring_transition_pressure_dew_specialist.py,workflow,research_workflow,offline_or_derived,False,False,True,28877
run_hkg_t24_station_only_walkforward_benchmark.py,workflow,research_workflow,offline_or_derived,True,False,True,32191
run_hkg_t24_station_only_walkforward_matrix_audit.py,workflow,research_workflow,offline_or_derived,False,False,True,24874
run_hkg_t24_station_regime_interaction_atlas.py,workflow,research_workflow,offline_or_derived,False,False,True,53624
run_hkg_t24_trust_router_sensitivity.py,workflow,research_workflow,offline_or_derived,False,False,True,37191
run_hkg_tmax_0004_station_hour_residual_information_atlas.py,workflow,research_workflow,offline_or_derived,False,False,True,52067
run_hkg_tmax_audit_database_ingestion.py,workflow,research_workflow,offline_or_derived,False,False,True,177
run_hkg_tmax_baselines.py,workflow,retained_reproduction,offline_or_derived,True,False,True,33640
run_hkg_tmax_probability_bucket_v1.py,workflow,research_workflow,offline_or_derived,False,False,True,13415
run_hkg_tmax_probability_distribution_methods_v2.py,workflow,research_workflow,offline_or_derived,False,False,True,22322
run_hkg_tmax_residual_ml_next_round.py,workflow,research_workflow,offline_or_derived,False,False,True,29672
run_hkg_tmax_residual_ml_official_memory.py,workflow,research_workflow,offline_or_derived,False,False,True,17998
run_hkg_tmax_residual_ml_strategy.py,workflow,research_workflow,offline_or_derived,False,False,True,13496
run_hko_official_remaining_backfill.py,workflow,active_operator,offline_or_derived,True,False,True,38101
run_public_gfs_gefs_himawari_7day_backfill_rehearsal.py,workflow,research_workflow,network,False,True,True,71645
run_public_weather_backfill_day_shards.py,workflow,research_workflow,offline_or_derived,False,True,True,16100
run_t02_full_current_data_census_reconciliation.py,workflow,research_workflow,offline_or_derived,True,False,True,61149
run_t03_t05_foundation_tasks.py,workflow,research_workflow,network,True,False,True,106740
run_t06_gribstream_resumable_runs_client.py,workflow,research_workflow,offline_or_derived,True,False,True,29976
run_t07_t13_gribstream_backfill.py,workflow,research_workflow,network,True,False,True,41888
run_tactical_gribstream_batch_smoke.py,workflow,research_workflow,offline_or_derived,True,False,True,24805
run_tactical_gribstream_first_week.py,workflow,research_workflow,offline_or_derived,True,False,True,33778
run_tactical_gribstream_h24n_smoke.py,workflow,research_workflow,network,True,False,True,31034
