feature,feature_family,asof_rule,production_allowed,diagnostic_only,leakage_status
analog_resid_trimmed_mean_50,analog,prior calendar years only inside each cutoff family,True,False,pass
bright_sunshine_duration_delta_lag2_minus_lag3,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
bright_sunshine_duration_delta_lag2_minus_lag7,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
bright_sunshine_duration_lag_14,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
bright_sunshine_duration_lag_2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
bright_sunshine_duration_lag_3,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
bright_sunshine_duration_lag_30,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
bright_sunshine_duration_lag_4,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
bright_sunshine_duration_lag_5,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
bright_sunshine_duration_lag_7,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
bright_sunshine_duration_rolling_max_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
bright_sunshine_duration_rolling_mean_14_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
bright_sunshine_duration_rolling_mean_30_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
bright_sunshine_duration_rolling_mean_3_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
bright_sunshine_duration_rolling_mean_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
bright_sunshine_duration_rolling_median_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
bright_sunshine_duration_rolling_min_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
bright_sunshine_duration_rolling_std_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
bright_sunshine_duration_trend_7_minus_30,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
cloud_to_cloud_lightning_delta_lag2_minus_lag3,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
cloud_to_cloud_lightning_delta_lag2_minus_lag7,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
cloud_to_cloud_lightning_lag_14,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
cloud_to_cloud_lightning_lag_2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
cloud_to_cloud_lightning_lag_3,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
cloud_to_cloud_lightning_lag_30,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
cloud_to_cloud_lightning_lag_4,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
cloud_to_cloud_lightning_lag_5,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
cloud_to_cloud_lightning_lag_7,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
cloud_to_cloud_lightning_rolling_max_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
cloud_to_cloud_lightning_rolling_mean_14_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
cloud_to_cloud_lightning_rolling_mean_30_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
cloud_to_cloud_lightning_rolling_mean_3_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
cloud_to_cloud_lightning_rolling_mean_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
cloud_to_cloud_lightning_rolling_median_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
cloud_to_cloud_lightning_rolling_min_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
cloud_to_cloud_lightning_rolling_std_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
cloud_to_cloud_lightning_trend_7_minus_30,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
cloud_to_ground_lightning_delta_lag2_minus_lag3,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
cloud_to_ground_lightning_delta_lag2_minus_lag7,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
cloud_to_ground_lightning_lag_14,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
cloud_to_ground_lightning_lag_2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
cloud_to_ground_lightning_lag_3,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
cloud_to_ground_lightning_lag_30,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
cloud_to_ground_lightning_lag_4,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
cloud_to_ground_lightning_lag_5,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
cloud_to_ground_lightning_lag_7,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
cloud_to_ground_lightning_rolling_max_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
cloud_to_ground_lightning_rolling_mean_14_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
cloud_to_ground_lightning_rolling_mean_30_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
cloud_to_ground_lightning_rolling_mean_3_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
cloud_to_ground_lightning_rolling_mean_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
cloud_to_ground_lightning_rolling_median_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
cloud_to_ground_lightning_rolling_min_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
cloud_to_ground_lightning_rolling_std_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
cloud_to_ground_lightning_trend_7_minus_30,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
daily_maximum_temperature_delta_lag2_minus_lag3,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
daily_maximum_temperature_delta_lag2_minus_lag7,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
daily_maximum_temperature_lag_14,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
daily_maximum_temperature_lag_2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
daily_maximum_temperature_lag_3,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
daily_maximum_temperature_lag_30,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
daily_maximum_temperature_lag_4,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
daily_maximum_temperature_lag_5,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
daily_maximum_temperature_lag_7,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
daily_maximum_temperature_rolling_max_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
daily_maximum_temperature_rolling_mean_14_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
daily_maximum_temperature_rolling_mean_30_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
daily_maximum_temperature_rolling_mean_3_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
daily_maximum_temperature_rolling_mean_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
daily_maximum_temperature_rolling_median_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
daily_maximum_temperature_rolling_min_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
daily_maximum_temperature_rolling_std_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
daily_maximum_temperature_trend_7_minus_30,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
daily_minimum_temperature_delta_lag2_minus_lag3,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
daily_minimum_temperature_delta_lag2_minus_lag7,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
daily_minimum_temperature_lag_14,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
daily_minimum_temperature_lag_2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
daily_minimum_temperature_lag_3,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
daily_minimum_temperature_lag_30,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
daily_minimum_temperature_lag_4,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
daily_minimum_temperature_lag_5,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
daily_minimum_temperature_lag_7,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
daily_minimum_temperature_rolling_max_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
daily_minimum_temperature_rolling_mean_14_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
daily_minimum_temperature_rolling_mean_30_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
daily_minimum_temperature_rolling_mean_3_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
daily_minimum_temperature_rolling_mean_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
daily_minimum_temperature_rolling_median_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
daily_minimum_temperature_rolling_min_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
daily_minimum_temperature_rolling_std_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
daily_minimum_temperature_trend_7_minus_30,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
daily_rainfall_delta_lag2_minus_lag3,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
daily_rainfall_delta_lag2_minus_lag7,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
daily_rainfall_lag_14,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
daily_rainfall_lag_2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
daily_rainfall_lag_3,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
daily_rainfall_lag_30,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
daily_rainfall_lag_4,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
daily_rainfall_lag_5,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
daily_rainfall_lag_7,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
daily_rainfall_rolling_max_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
daily_rainfall_rolling_mean_14_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
daily_rainfall_rolling_mean_30_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
daily_rainfall_rolling_mean_3_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
daily_rainfall_rolling_mean_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
daily_rainfall_rolling_median_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
daily_rainfall_rolling_min_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
daily_rainfall_rolling_std_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
daily_rainfall_trend_7_minus_30,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
diurnal_range_lag2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
evaporation_delta_lag2_minus_lag3,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
evaporation_delta_lag2_minus_lag7,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
evaporation_lag_14,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
evaporation_lag_2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
evaporation_lag_3,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
evaporation_lag_30,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
evaporation_lag_4,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
evaporation_lag_5,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
evaporation_lag_7,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
evaporation_rolling_max_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
evaporation_rolling_mean_14_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
evaporation_rolling_mean_30_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
evaporation_rolling_mean_3_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
evaporation_rolling_mean_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
evaporation_rolling_median_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
evaporation_rolling_min_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
evaporation_rolling_std_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
evaporation_trend_7_minus_30,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
global_solar_radiation_delta_lag2_minus_lag3,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
global_solar_radiation_delta_lag2_minus_lag7,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
global_solar_radiation_lag_14,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
global_solar_radiation_lag_2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
global_solar_radiation_lag_3,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
global_solar_radiation_lag_30,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
global_solar_radiation_lag_4,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
global_solar_radiation_lag_5,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
global_solar_radiation_lag_7,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
global_solar_radiation_rolling_max_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
global_solar_radiation_rolling_mean_14_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
global_solar_radiation_rolling_mean_30_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
global_solar_radiation_rolling_mean_3_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
global_solar_radiation_rolling_mean_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
global_solar_radiation_rolling_median_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
global_solar_radiation_rolling_min_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
global_solar_radiation_rolling_std_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
global_solar_radiation_trend_7_minus_30,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
grass_minimum_temperature_delta_lag2_minus_lag3,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
grass_minimum_temperature_delta_lag2_minus_lag7,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
grass_minimum_temperature_lag_14,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
grass_minimum_temperature_lag_2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
grass_minimum_temperature_lag_3,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
grass_minimum_temperature_lag_30,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
grass_minimum_temperature_lag_4,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
grass_minimum_temperature_lag_5,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
grass_minimum_temperature_lag_7,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
grass_minimum_temperature_rolling_max_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
grass_minimum_temperature_rolling_mean_14_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
grass_minimum_temperature_rolling_mean_30_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
grass_minimum_temperature_rolling_mean_3_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
grass_minimum_temperature_rolling_mean_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
grass_minimum_temperature_rolling_median_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
grass_minimum_temperature_rolling_min_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
grass_minimum_temperature_rolling_std_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
grass_minimum_temperature_trend_7_minus_30,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
humidity_heat_index_proxy_lag2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
lightning_any_lag2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
mean_cloud_amount_delta_lag2_minus_lag3,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
mean_cloud_amount_delta_lag2_minus_lag7,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
mean_cloud_amount_lag_14,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
mean_cloud_amount_lag_2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
mean_cloud_amount_lag_3,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
mean_cloud_amount_lag_30,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
mean_cloud_amount_lag_4,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
mean_cloud_amount_lag_5,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
mean_cloud_amount_lag_7,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
mean_cloud_amount_rolling_max_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
mean_cloud_amount_rolling_mean_14_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
mean_cloud_amount_rolling_mean_30_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
mean_cloud_amount_rolling_mean_3_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
mean_cloud_amount_rolling_mean_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
mean_cloud_amount_rolling_median_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
mean_cloud_amount_rolling_min_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
mean_cloud_amount_rolling_std_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
mean_cloud_amount_trend_7_minus_30,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
mean_dew_point_temperature_delta_lag2_minus_lag3,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
mean_dew_point_temperature_delta_lag2_minus_lag7,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
mean_dew_point_temperature_lag_14,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
mean_dew_point_temperature_lag_2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
mean_dew_point_temperature_lag_3,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
mean_dew_point_temperature_lag_30,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
mean_dew_point_temperature_lag_4,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
mean_dew_point_temperature_lag_5,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
mean_dew_point_temperature_lag_7,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
mean_dew_point_temperature_rolling_max_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
mean_dew_point_temperature_rolling_mean_14_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
mean_dew_point_temperature_rolling_mean_30_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
mean_dew_point_temperature_rolling_mean_3_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
mean_dew_point_temperature_rolling_mean_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
mean_dew_point_temperature_rolling_median_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
mean_dew_point_temperature_rolling_min_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
mean_dew_point_temperature_rolling_std_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
mean_dew_point_temperature_trend_7_minus_30,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
mean_relative_humidity_delta_lag2_minus_lag3,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
mean_relative_humidity_delta_lag2_minus_lag7,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
mean_relative_humidity_lag_14,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
mean_relative_humidity_lag_2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
mean_relative_humidity_lag_3,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
mean_relative_humidity_lag_30,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
mean_relative_humidity_lag_4,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
mean_relative_humidity_lag_5,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
mean_relative_humidity_lag_7,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
mean_relative_humidity_rolling_max_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
mean_relative_humidity_rolling_mean_14_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
mean_relative_humidity_rolling_mean_30_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
mean_relative_humidity_rolling_mean_3_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
mean_relative_humidity_rolling_mean_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
mean_relative_humidity_rolling_median_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
mean_relative_humidity_rolling_min_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
mean_relative_humidity_rolling_std_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
mean_relative_humidity_trend_7_minus_30,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
mean_sea_level_pressure_delta_lag2_minus_lag3,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
mean_sea_level_pressure_delta_lag2_minus_lag7,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
mean_sea_level_pressure_lag_14,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
mean_sea_level_pressure_lag_2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
mean_sea_level_pressure_lag_3,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
mean_sea_level_pressure_lag_30,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
mean_sea_level_pressure_lag_4,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
mean_sea_level_pressure_lag_5,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
mean_sea_level_pressure_lag_7,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
mean_sea_level_pressure_rolling_max_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
mean_sea_level_pressure_rolling_mean_14_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
mean_sea_level_pressure_rolling_mean_30_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
mean_sea_level_pressure_rolling_mean_3_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
mean_sea_level_pressure_rolling_mean_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
mean_sea_level_pressure_rolling_median_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
mean_sea_level_pressure_rolling_min_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
mean_sea_level_pressure_rolling_std_7_ending_tminus2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
mean_sea_level_pressure_trend_7_minus_30,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
mean_temperature_delta_lag2_minus_lag3,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
mean_temperature_delta_lag2_minus_lag7,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
mean_temperature_lag_14,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
mean_temperature_lag_2,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
mean_temperature_lag_3,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
mean_temperature_lag_30,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
mean_temperature_lag_4,climate|no_official,HKO daily climate variables only through T-2,True,False,pass
